year,month,value
2022,1,3.9
2022,2,3.6
2022,3,10.0
2022,4,14.3
2022,5,18.5
2022,6,20.8
2022,7,25.1
2022,8,25.6
2022,9,22.1
2022,10,16.6
2022,11,13.7
2022,12,3.3
