bstopnm,geometry,SGG_NM
부경고교,POINT (129.0140116667 35.114255),부산광역시 서구
구덕운동장,POINT (129.0139233333 35.1138633333),부산광역시 서구
부경고교,POINT (129.0136116667 35.1132816667),부산광역시 서구
삼육부산병원,POINT (129.011595 35.112665),부산광역시 서구
삼육부산병원.서대신역,POINT (129.0119116667 35.1115966667),부산광역시 서구
서대신교차로.서대신역,POINT (129.0111201 35.11057689),부산광역시 서구
광민약국.서대신동,POINT (129.0098166667 35.1110683333),부산광역시 서구
광민약국.서대신동,POINT (129.009755 35.1109983333),부산광역시 서구
서대신역.서부경찰서,POINT (129.01316 35.11043),부산광역시 서구
서대신역.서대신교차로,POINT (129.013231714115 35.112256686977),부산광역시 서구
부경고교,POINT (129.01382 35.11351),부산광역시 서구
구덕운동장(종점),POINT (129.0157633333 35.11389),부산광역시 서구
구덕운동장,POINT (129.01605 35.1133516667),부산광역시 서구
서대신우체국,POINT (129.01649139909 35.112902528143),부산광역시 서구
동대신역,POINT (129.017151791263 35.111077651761),부산광역시 서구
서대시장.동대신역,POINT (129.016797275181 35.109864798396),부산광역시 서구
서대시장,POINT (129.0161716667 35.10945),부산광역시 서구
서대시장.동대신역,POINT (129.01739670669 35.109791509607),부산광역시 서구
서부교회,POINT (129.0183 35.1091866667),부산광역시 서구
서부교회,POINT (129.01924 35.1086766667),부산광역시 서구
서부교회,POINT (129.019621486073 35.107968269589),부산광역시 서구
대진아파트,POINT (129.0244833333 35.0872766667),부산광역시 서구
동아대부민캠퍼스,POINT (129.0200916667 35.106025),부산광역시 서구
동아대학교병원,POINT (129.016650163503 35.119427715614),부산광역시 서구
동아대부민캠퍼스,POINT (129.020154 35.105652),부산광역시 서구
동아대부민캠퍼스,POINT (129.020238685449 35.104979643035),부산광역시 서구
대진아파트,POINT (129.0245783333 35.0873566667),부산광역시 서구
영락교회,POINT (129.02061 35.1033833333),부산광역시 서구
영락교회,POINT (129.020771934178 35.103172436155),부산광역시 서구
부산대학병원.토성역,POINT (129.019925 35.1013433333),부산광역시 서구
부산대학병원.토성역,POINT (129.0197783333 35.1013383333),부산광역시 서구
토성역.아미동입구,POINT (129.018015 35.09994),부산광역시 서구
토성역.아미동입구,POINT (129.01867 35.0998),부산광역시 서구
아동보호종합센터,POINT (129.0158716667 35.1000166667),부산광역시 서구
양성슈퍼,POINT (129.0133566667 35.1002233333),부산광역시 서구
까치새길입구,POINT (129.01153 35.10138),부산광역시 서구
아름다운교회,POINT (129.0109616667 35.10309),부산광역시 서구
아름다운교회,POINT (129.010835 35.1028133333),부산광역시 서구
까치새길입구,POINT (129.0114516667 35.1013933333),부산광역시 서구
양성슈퍼,POINT (129.0135116667 35.1000983333),부산광역시 서구
아동보호종합센터,POINT (129.0160533333 35.1000283333),부산광역시 서구
아미치안센터,POINT (129.016077491103 35.099435021404),부산광역시 서구
아미치안센터,POINT (129.016805 35.100007),부산광역시 서구
아미초등학교,POINT (129.017205 35.0977433333),부산광역시 서구
아미초등학교,POINT (129.0172216667 35.0978),부산광역시 서구
토성동,POINT (129.0205283333 35.09805),부산광역시 서구
부산대학병원.토성역,POINT (129.020131243037 35.098960163217),부산광역시 서구
토성동,POINT (129.02083 35.0979333333),부산광역시 서구
암남공원,POINT (129.019225 35.0631183333),부산광역시 서구
서구청,POINT (129.025152229487 35.097647885044),부산광역시 서구
충무동해안시장,POINT (129.025246431282 35.09615735956),부산광역시 서구
충무동해안시장,POINT (129.025895 35.0963183333),부산광역시 서구
자갈치역.충무동해안시장,POINT (129.024512762525 35.095774249314),부산광역시 서구
충무동교차로,POINT (129.0242666667 35.0956266667),부산광역시 서구
자갈치역.충무동교차로,POINT (129.023802582702 35.096626837849),부산광역시 서구
충무동교차로,POINT (129.0231016667 35.0966633333),부산광역시 서구
충무동교차로,POINT (129.023415 35.0964616667),부산광역시 서구
하동상회,POINT (129.0182383333 35.0962383333),부산광역시 서구
하동상회,POINT (129.0182516667 35.096015),부산광역시 서구
초장중학교,POINT (129.0190866667 35.094505),부산광역시 서구
초장중학교,POINT (129.019 35.0943783333),부산광역시 서구
초장동,POINT (129.018435964282 35.092856705727),부산광역시 서구
초장동,POINT (129.01875 35.09255),부산광역시 서구
대원사,POINT (129.020005 35.091555),부산광역시 서구
대원사,POINT (129.0199616667 35.0916366667),부산광역시 서구
남부민시장입구,POINT (129.022126937903 35.092653874934),부산광역시 서구
남부민시장입구,POINT (129.022078702617 35.093138197384),부산광역시 서구
충무쇼핑.충무동새벽시장,POINT (129.023895 35.092815),부산광역시 서구
충무쇼핑.충무동새벽시장,POINT (129.0240266667 35.0928016667),부산광역시 서구
공동어시장,POINT (129.024375 35.089665),부산광역시 서구
공동어시장,POINT (129.024305 35.0889783333),부산광역시 서구
남부민초등학교,POINT (129.0234066667 35.0878283333),부산광역시 서구
남부민초등학교,POINT (129.0232983333 35.0882416667),부산광역시 서구
동천아파트,POINT (129.021685 35.0900566667),부산광역시 서구
동천아파트,POINT (129.021543988279 35.090546748861),부산광역시 서구
남부민동경로당,POINT (129.02179 35.08767),부산광역시 서구
남부민동경로당,POINT (129.021815 35.087435),부산광역시 서구
천마우편취급국,POINT (129.0225133333 35.0858483333),부산광역시 서구
천마우편취급국,POINT (129.0221 35.0851583333),부산광역시 서구
등대시장,POINT (129.02478 35.0847133333),부산광역시 서구
등대시장,POINT (129.024988361822 35.084320327966),부산광역시 서구
대림아파트,POINT (129.0251483333 35.082445),부산광역시 서구
대림아파트,POINT (129.0248883333 35.082295),부산광역시 서구
부산관광고교,POINT (129.0220016667 35.0821183333),부산광역시 서구
남부민2동주민센터,POINT (129.020285 35.083805),부산광역시 서구
남부민2동주민센터,POINT (129.02034 35.083633),부산광역시 서구
부산관광고교,POINT (129.0218966667 35.0824033333),부산광역시 서구
신익아파트,POINT (129.02039 35.0799883333),부산광역시 서구
신익아파트,POINT (129.0202783333 35.079405),부산광역시 서구
암남동주민센터,POINT (129.021318652834 35.079862005925),부산광역시 서구
암남동주민센터,POINT (129.0217316667 35.0797666667),부산광역시 서구
송도교차로,POINT (129.0183633333 35.0783683333),부산광역시 서구
송도입구,POINT (129.0180466667 35.079465),부산광역시 서구
고신대학교복음병원,POINT (129.016151096211 35.081470460701),부산광역시 서구
알로이시오기념병원,POINT (129.01282 35.0821183333),부산광역시 서구
알로이시오기념병원,POINT (129.0128783333 35.08187),부산광역시 서구
고신대학교복음병원,POINT (129.0159233333 35.0812533333),부산광역시 서구
송도입구,POINT (129.017460640049 35.079779697938),부산광역시 서구
송도교차로,POINT (129.018118754183 35.078401134427),부산광역시 서구
송도초등학교,POINT (129.016815 35.0788383333),부산광역시 서구
송도초등학교,POINT (129.0164333333 35.0784166667),부산광역시 서구
송도해수욕장,POINT (129.0161333333 35.076375),부산광역시 서구
송도해수욕장,POINT (129.015881935213 35.07673569178),부산광역시 서구
송도공영주차장,POINT (129.015295 35.074225),부산광역시 서구
송도공영주차장,POINT (129.0154116667 35.0739666667),부산광역시 서구
혜성아파트,POINT (129.0161383333 35.0714983333),부산광역시 서구
혜성아파트,POINT (129.0162466667 35.0711783333),부산광역시 서구
휴게소,POINT (129.0192966667 35.0660783333),부산광역시 서구
휴게소,POINT (129.0197883333 35.0658316667),부산광역시 서구
암남공원,POINT (129.0192816667 35.0635366667),부산광역시 서구
모지포마을입구,POINT (129.0163333333 35.0627916667),부산광역시 서구
모지포마을,POINT (129.014585 35.0637716667),부산광역시 서구
경성전자고등학교,POINT (129.013549776696 35.116055742666),부산광역시 서구
경성전자고등학교,POINT (129.01282 35.1164083333),부산광역시 서구
동원냉장,POINT (129.012798 35.065605),부산광역시 서구
감천1.2.3부두,POINT (129.0094683333 35.0683283333),부산광역시 서구
동원냉장,POINT (129.0129833333 35.0656483333),부산광역시 서구
민들레맨션,POINT (129.0092033333 35.1086483333),부산광역시 서구
민들레맨션,POINT (129.0093916667 35.1091266667),부산광역시 서구
인성글로벌냉장,POINT (129.006735 35.072705),부산광역시 서구
인성글로벌냉장,POINT (129.0066366667 35.0725633333),부산광역시 서구
한일냉장,POINT (129.0053883333 35.08054),부산광역시 사하구
한일냉장,POINT (129.005565 35.0800283333),부산광역시 사하구
서대신금호아파트(종점),POINT (129.0111616667 35.1193233333),부산광역시 서구
송도혜성아파트(종점),POINT (129.015955 35.072275),부산광역시 서구
동대신2동,POINT (129.0238266667 35.1152433333),부산광역시 서구
동대신2동,POINT (129.0240933333 35.1149233333),부산광역시 서구
동양레미콘,POINT (129.0060016667 35.0757866667),부산광역시 서구
감천1.2.3부두,POINT (129.0094483333 35.068205),부산광역시 서구
동양레미콘,POINT (129.0060733333 35.0761866667),부산광역시 서구
대신중학교,POINT (129.01375 35.117025),부산광역시 서구
경남고등학교,POINT (129.0179916667 35.1191366667),부산광역시 서구
현대아파트,POINT (129.017532266419 35.070902211983),부산광역시 서구
현대아파트,POINT (129.0168216667 35.0708566667),부산광역시 서구
해강노인관,POINT (129.0202183333 35.0850416667),부산광역시 서구
해강노인관,POINT (129.0200583333 35.08483),부산광역시 서구
모지포마을,POINT (129.014525 35.0637266667),부산광역시 서구
성진수산,POINT (129.012010098387 35.062186515951),부산광역시 서구
성진수산,POINT (129.012130490436 35.061937893617),부산광역시 서구
부산국제수산물도매시장,POINT (129.011436 35.059938),부산광역시 서구
동아대부민캠퍼스,POINT (129.02092108747 35.107487325934),부산광역시 서구
동아대부민캠퍼스,POINT (129.0217736736 35.107637603247),부산광역시 서구
수산가공선진화단지입구,POINT (129.0122832 35.05705224),부산광역시 서구
수산가공선진화단지입구,POINT (129.012605587509 35.057015348233),부산광역시 서구
수산가공선진화단지,POINT (129.011955445317 35.054637982065),부산광역시 서구
부산국제수산물도매시장,POINT (129.011483 35.059855),부산광역시 서구
남부민동,POINT (129.0179927 35.08326948),부산광역시 서구
동산교회,POINT (129.0157694 35.08439027),부산광역시 서구
알로이시오고교,POINT (129.012298746371 35.082348147692),부산광역시 서구
남부민동,POINT (129.018426586869 35.083028908476),부산광역시 서구
서대신역.서부경찰서,POINT (129.0143599 35.10998239),부산광역시 서구
천마마을,POINT (129.0144322 35.08451163),부산광역시 서구
문화아파트,POINT (129.016121625929 35.115276791618),부산광역시 서구
까치고개,POINT (129.011425 35.1045816667),부산광역시 서구
범곡교차로,POINT (129.0562937 35.14008672),부산광역시 동구
범곡교차로,POINT (129.056415 35.1406383333),부산광역시 동구
부산범천교회,POINT (129.054860427563 35.141841175067),부산광역시 동구
아름빌아파트,POINT (129.052248722123 35.141521517731),부산광역시 동구
아름빌아파트,POINT (129.0522233333 35.1416733333),부산광역시 동구
서광교회,POINT (129.05114 35.139965),부산광역시 동구
서광교회,POINT (129.0511583333 35.1405433333),부산광역시 동구
범일초등학교,POINT (129.0490066667 35.1406983333),부산광역시 동구
삼화약국,POINT (129.0487933333 35.1433733333),부산광역시 동구
삼화약국,POINT (129.0485916667 35.1435233333),부산광역시 동구
범일초등학교,POINT (129.048884566147 35.140602537661),부산광역시 동구
범일초등학교,POINT (129.0488684965 35.1402460466),부산광역시 동구
범일초등학교,POINT (129.0488521814 35.1399088672),부산광역시 동구
성북고개,POINT (129.04816 35.138795),부산광역시 동구
범곡교차로,POINT (129.056701 35.142082),부산광역시 동구
성북고개,POINT (129.0477983333 35.1382233333),부산광역시 동구
좌천할인마트.서린엘마르더뷰,POINT (129.047000416464 35.136724680015),부산광역시 동구
좌천동농심가슈퍼,POINT (129.0472966667 35.1368433333),부산광역시 동구
수정삼거리,POINT (129.04568 35.1353483333),부산광역시 동구
수정삼거리,POINT (129.04563 35.1352666),부산광역시 동구
수정삼거리,POINT (129.0451233333 35.135365),부산광역시 동구
수정삼거리,POINT (129.044517338805 35.13524664817),부산광역시 동구
수정5동,POINT (129.0446783333 35.1340216667),부산광역시 동구
수정5동,POINT (129.045105925575 35.133917603766),부산광역시 동구
수정성당입구,POINT (129.046115 35.1323283333),부산광역시 동구
수정초등학교,POINT (129.046995 35.1313666667),부산광역시 동구
수성초등학교,POINT (129.042705 35.1339116667),부산광역시 동구
수성초등학교,POINT (129.042519118398 35.133874523188),부산광역시 동구
동여중,POINT (129.042245 35.1323216667),부산광역시 동구
동여중,POINT (129.0419516667 35.131845),부산광역시 동구
수정2동,POINT (129.04061 35.1303016667),부산광역시 동구
수정2동,POINT (129.04121 35.1295533333),부산광역시 동구
수정아파트,POINT (129.040875 35.12719),부산광역시 동구
수정아파트,POINT (129.04105618741 35.127262841266),부산광역시 동구
묘심사,POINT (129.03943 35.1265133333),부산광역시 동구
부산서중학교,POINT (129.035755481689 35.125936557942),부산광역시 동구
부산서중학교,POINT (129.034879829576 35.126159314471),부산광역시 동구
부산서중학교,POINT (129.035342027396 35.12599072256),부산광역시 동구
초량6동,POINT (129.0348466667 35.12421),부산광역시 동구
초량6동,POINT (129.034638376065 35.124246739563),부산광역시 동구
부산컴퓨터과학고교,POINT (129.0338733333 35.1222383333),부산광역시 동구
부산컴퓨터과학고교,POINT (129.033535 35.122025),부산광역시 동구
금수사,POINT (129.0307666667 35.1198316667),부산광역시 동구
금수사,POINT (129.030070292383 35.119633203489),부산광역시 동구
초량6동주민센터,POINT (129.0337366667 35.1201366667),부산광역시 동구
초량6동주민센터,POINT (129.03457 35.120155),부산광역시 동구
(구)해룡약국,POINT (129.0361216667 35.119645),부산광역시 동구
화신아파트,POINT (129.0300883333 35.1185183333),부산광역시 동구
화신아파트,POINT (129.0306366667 35.11845),부산광역시 동구
동일파크맨션,POINT (129.033616358881 35.116875118519),부산광역시 동구
동일파크맨션,POINT (129.033728654373 35.117059840336),부산광역시 동구
부산역후문,POINT (129.0430416667 35.1143116667),부산광역시 동구
부산역후문,POINT (129.043485 35.1142466),부산광역시 동구
국민은행,POINT (129.0396433333 35.11718),부산광역시 동구
초량지구대,POINT (129.037728642867 35.117926224452),부산광역시 동구
초량지구대,POINT (129.0379783333 35.1180966667),부산광역시 동구
부산고교,POINT (129.038198 35.120503),부산광역시 동구
부산고교,POINT (129.038364819986 35.120286666322),부산광역시 동구
부산고교,POINT (129.039068675978 35.120528574982),부산광역시 동구
부산고교,POINT (129.03882188478 35.119506298446),부산광역시 동구
초량시장입구,POINT (129.040797663024 35.11864626729),부산광역시 동구
부산역.초량시장입구,POINT (129.040142473547 35.116873156872),부산광역시 동구
초량역3번출구,POINT (129.041653 35.119834),부산광역시 동구
(구)성분도병원,POINT (129.0403283333 35.1225983333),부산광역시 동구
경남여중,POINT (129.042385 35.1241133333),부산광역시 동구
인창병원,POINT (129.0429316667 35.1226833333),부산광역시 동구
인창병원,POINT (129.042925295539 35.122466618146),부산광역시 동구
4부두,POINT (129.047539495334 35.119299661743),부산광역시 동구
4부두,POINT (129.047291828034 35.119755731619),부산광역시 동구
고관입구,POINT (129.0453733333 35.1263483333),부산광역시 동구
동구청,POINT (129.045055 35.1268433333),부산광역시 동구
동구청,POINT (129.044828300516 35.126812281603),부산광역시 동구
수정시장,POINT (129.04634 35.12862),부산광역시 동구
수정시장,POINT (129.0468266667 35.1291033333),부산광역시 동구
수정초등학교,POINT (129.046895 35.1307366667),부산광역시 동구
부두119안전센터,POINT (129.05139833312 35.125673579411),부산광역시 동구
부두119안전센터,POINT (129.050723 35.125777),부산광역시 동구
남해지방해양경찰청,POINT (129.05485 35.127555),부산광역시 동구
남해지방해양경찰청,POINT (129.0545616667 35.1275183333),부산광역시 동구
범일5동주민센터,POINT (129.05423 35.1304233333),부산광역시 동구
범일5동주민센터,POINT (129.0546233333 35.1309133333),부산광역시 동구
대양산업,POINT (129.0573333333 35.1313266667),부산광역시 동구
대양산업,POINT (129.058905 35.131355),부산광역시 동구
보급창,POINT (129.059665 35.132115),부산광역시 동구
자성대,POINT (129.06077 35.1345866667),부산광역시 동구
자성대,POINT (129.0628766667 35.1359116667),부산광역시 동구
좌천동가구거리(좌천역),POINT (129.0552366667 35.13527),부산광역시 동구
좌천동가구거리(좌천역),POINT (129.055523207465 35.135147690426),부산광역시 동구
자성대,POINT (129.0623366667 35.13729),부산광역시 동구
시민회관.동부산우체국,POINT (129.0625433333 35.1382933333),부산광역시 동구
시민회관.동부산우체국,POINT (129.06247320252 35.138890600884),부산광역시 동구
범일동국민은행,POINT (129.06087836314 35.138925949637),부산광역시 동구
자유.평화시장,POINT (129.060251532728 35.140635497141),부산광역시 동구
자유.평화시장,POINT (129.060543288351 35.140914790142),부산광역시 동구
덕림아파트,POINT (129.038486112595 35.126315531405),부산광역시 동구
인창병원,POINT (129.0423566667 35.1220683333),부산광역시 동구
초량어린이집,POINT (129.031843628851 35.119681130118),부산광역시 동구
초량어린이집,POINT (129.03185 35.1195583333),부산광역시 동구
(구)해룡약국,POINT (129.0356266667 35.1198483333),부산광역시 동구
부산서중학교,POINT (129.0348 35.12586),부산광역시 동구
수정4동(종점),POINT (129.0387633333 35.1274166667),부산광역시 동구
범5호교,POINT (129.0630216667 35.14061),부산광역시 동구
범일초등학교입구,POINT (129.051478 35.139865),부산광역시 동구
나웅하이빌,POINT (129.053638 35.1388205),부산광역시 동구
나웅하이빌,POINT (129.053596 35.1390224),부산광역시 동구
문화아파트,POINT (129.053811 35.1364916),부산광역시 동구
문화아파트,POINT (129.053998 35.1364147),부산광역시 동구
금성고등학교,POINT (129.05213 35.1344761),부산광역시 동구
금성고등학교,POINT (129.052361 35.1345623),부산광역시 동구
좌이경로당,POINT (129.049849 35.1329991),부산광역시 동구
좌이경로당,POINT (129.049795 35.132828),부산광역시 동구
하승빌라,POINT (129.048035 35.1341937),부산광역시 동구
하승빌라,POINT (129.047909 35.1342808),부산광역시 동구
아르미나아파트,POINT (129.035788858531 35.125520955754),부산광역시 동구
수정1동공영주차장,POINT (129.039024117153 35.124840236452),부산광역시 동구
이편한세상부산항.(구)성분도병원,POINT (129.040083141888 35.122443302682),부산광역시 동구
한성기린아파트,POINT (129.056577009501 35.139135669862),부산광역시 동구
부산서중학교,POINT (129.0378607 35.12547035),부산광역시 동구
범일초등학교입구,POINT (129.0514351 35.14003167),부산광역시 동구
한림유치원,POINT (129.0399311 35.12393281),부산광역시 동구
부산항국제여객터미널,POINT (129.04830513064 35.117760841194),부산광역시 동구
부산항국제여객터미널입구,POINT (129.047517553436 35.117625459588),부산광역시 동구
범일5동주민센터,POINT (129.0551198 35.13124593),부산광역시 동구
수정산가족체육공원입구,POINT (129.0404965 35.13175671),부산광역시 동구
걸스카우트회관,POINT (129.039373676377 35.122912590858),부산광역시 동구
부산고교,POINT (129.038762522666 35.120615878985),부산광역시 동구
눌원빌딩,POINT (129.065251618358 35.136843313839),부산광역시 동구
수정성당입구,POINT (129.046217569745 35.132651494759),부산광역시 동구
안창마을입구,POINT (129.04819 35.1444),부산광역시 부산진구
범일역,POINT (129.059289136036 35.137490042263),부산광역시 동구
범일역,POINT (129.059506984816 35.138734451885),부산광역시 동구
부산진시장,POINT (129.059323419355 35.135367215802),부산광역시 동구
부산진시장,POINT (129.059549240551 35.136710618432),부산광역시 동구
자성대교차로,POINT (129.058841097869 35.134183623),부산광역시 동구
좌천역.좌천삼거리,POINT (129.053866056213 35.133083023835),부산광역시 동구
봉생병원,POINT (129.050504421228 35.130591936352),부산광역시 동구
봉생병원,POINT (129.050979181137 35.13071456899),부산광역시 동구
부산진역,POINT (129.048828014322 35.128917091969),부산광역시 동구
부산진역,POINT (129.048807344588 35.128529939265),부산광역시 동구
YMCA,POINT (129.045076946999 35.125204572506),부산광역시 동구
YMCA,POINT (129.045613209765 35.125375753103),부산광역시 동구
경남여중입구,POINT (129.043792356449 35.122959807828),부산광역시 동구
경남여중입구,POINT (129.043835132117 35.122476960416),부산광역시 동구
초량역.초량교차로,POINT (129.042363344121 35.12019928914),부산광역시 동구
초량역.초량교차로,POINT (129.042282382246 35.119592363789),부산광역시 동구
부산역,POINT (129.040012168729 35.116079994008),부산광역시 동구
부산역,POINT (129.039971845779 35.115562499319),부산광역시 동구
미광마린타워,POINT (129.043095 35.0936083333),부산광역시 영도구
영도봉래시장,POINT (129.0432416667 35.0933283333),부산광역시 영도구
해동병원,POINT (129.0441416667 35.091975),부산광역시 영도구
해동병원,POINT (129.044298988292 35.091213963098),부산광역시 영도구
