행정동명,Count
가덕도동,25
가락동,12
가야1동,36
가야2동,43
감만1동,25
감만2동,10
감전동,67
감천1동,41
감천2동,7
강동동,27
개금1동,63
개금2동,16
개금3동,24
거제1동,46
거제2동,21
거제3동,32
거제4동,8
광복동,41
광안1동,55
광안2동,62
광안3동,53
광안4동,17
괘법동,110
괴정1동,38
괴정2동,13
괴정3동,35
괴정4동,18
구서1동,66
구서2동,48
구평동,15
구포1동,71
구포2동,56
구포3동,31
금곡동,39
금사동,6
금사회동동,35
금성동,31
기장읍,256
남부민1동,20
남부민2동,16
남산동,90
남천1동,90
남천2동,27
남포동,80
남항동,58
녹산동,141
다대1동,108
다대2동,56
당감1동,69
당감2동,13
당감4동,20
당리동,74
대연1동,79
대연3동,147
대연4동,22
대연5동,48
대연6동,21
대저1동,40
대저2동,46
대청동,13
덕천1동,32
덕천2동,79
덕천3동,12
덕포1동,23
덕포2동,22
동광동,14
동대신1동,7
동대신2동,20
동대신3동,27
동삼1동,71
동삼2동,24
동삼3동,6
만덕1동,20
만덕2동,37
만덕3동,37
망미1동,46
망미2동,26
명륜동,73
명장1동,25
명장2동,9
명지1동,126
명지2동,56
명지동,5
모라1동,73
모라3동,3
문현1동,19
문현2동,16
문현3동,19
문현4동,19
민락동,107
반송1동,42
반송2동,43
반여1동,78
반여2동,40
반여3동,19
반여4동,5
범일1동,24
범일2동,70
범일5동,7
범천1동,61
범천2동,11
보수동,23
복산동,16
봉래1동,35
봉래2동,3
부곡1동,10
부곡2동,19
부곡3동,55
부곡4동,18
부민동,37
부암1동,25
부암3동,22
부전1동,142
부전2동,214
부평동,65
사직1동,31
사직2동,40
사직3동,42
삼락동,32
서1동,8
서2동,27
서3동,32
서대신1동,27
서대신3동,13
서대신4동,32
선두구동,16
송정동,70
수민동,40
수영동,58
수정1동,10
수정2동,55
수정4동,5
수정5동,3
신선동,6
신평1동,44
신평2동,41
아미동,6
안락1동,51
안락2동,58
암남동,43
양정1동,46
양정2동,39
엄궁동,53
연산1동,46
연산2동,26
연산3동,5
연산4동,65
연산5동,64
연산6동,21
연산8동,21
연산9동,62
연지동,25
영선1동,30
영선2동,12
영주1동,12
영주2동,6
온천1동,85
온천2동,48
온천3동,54
용당동,20
용호1동,89
용호2동,34
용호3동,37
용호4동,12
우1동,81
우2동,125
우3동,62
우암동,15
일광면,102
장림1동,57
장림2동,59
장안읍,74
장전1동,47
장전2동,83
장전3동,2
재송1동,76
재송2동,48
전포1동,86
전포2동,49
정관읍,171
좌1동,92
좌2동,50
좌3동,6
좌4동,18
좌천동,9
주례1동,30
주례2동,41
주례3동,32
중1동,144
중2동,50
중앙동,88
철마면,48
청룡노포동,29
청학1동,13
청학2동,39
초량1동,20
초량2동,37
초량3동,59
초량6동,9
초읍동,83
초장동,2
충무동,33
하단1동,51
하단2동,105
학장동,49
화명1동,33
화명2동,32
화명3동,94
