year,month,value
2021,1,56.5
2021,2,26.5
2021,3,187.5
2021,4,128.5
2021,5,148.5
2021,6,176.5
2021,7,428.5
2021,8,480.5
2021,9,157.5
2021,10,18.5
2021,11,64.5
2021,12,3.5
