year,month,value
2022,1,3.3
2022,2,3.1
2022,3,9.8
2022,4,14.2
2022,5,18.5
2022,6,20.0
2022,7,25.2
2022,8,25.5
2022,9,21.8
2022,10,16.6
2022,11,13.6
2022,12,2.7
