군구,월요일,화요일,수요일,목요일,금요일,토요일,일요일
강서구,144,131,176,163,206,215,184
금정구,158,170,163,176,177,256,216
기장군,194,224,210,213,232,256,206
남구,143,172,184,221,211,282,252
동구,57,52,62,45,59,67,54
동래구,106,132,165,145,177,214,148
부산진구,196,192,197,227,226,271,252
북구,84,110,135,117,125,147,141
사상구,126,146,170,149,195,206,177
사하구,137,136,151,150,166,200,183
서구,55,48,59,70,84,74,59
연제구,121,137,150,124,136,170,155
영도구,64,75,73,81,93,152,125
중구,28,41,40,42,32,58,45
해운대구,201,217,188,223,239,269,228
