시군구명,Count
강서구,2107
금정구,2695
기장군,2416
남구,2459
동구,1269
동래구,2930
부산진구,4574
북구,2254
사상구,2336
사하구,2976
서구,1100
수영구,2454
연제구,2204
영도구,1113
중구,1411
해운대구,3884
