시군구명,Count
강서구,178
금정구,472
기장군,274
남구,417
동구,402
동래구,754
부산진구,1322
북구,523
사상구,528
사하구,787
서구,181
수영구,582
연제구,571
영도구,319
중구,588
해운대구,715
