시군구명,Count
강서구,1960
금정구,2214
기장군,2289
남구,2292
동구,1060
동래구,2367
부산진구,4198
북구,2060
사상구,1954
사하구,2816
서구,1022
수영구,2166
연제구,1754
영도구,1108
중구,1260
해운대구,3997
