시군구명,Count
강서구,148
금정구,315
기장군,176
남구,387
동구,228
동래구,373
부산진구,722
북구,304
사상구,295
사하구,379
서구,117
수영구,398
연제구,245
영도구,177
중구,246
해운대구,436
