"연령별(1)",연령별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"연령별(1)",연령별(2),사상구,사상구,사상구,삼락동,삼락동,삼락동,모라1동,모라1동,모라1동,모라3동,모라3동,모라3동,덕포1동,덕포1동,덕포1동,덕포2동,덕포2동,덕포2동,괘법동,괘법동,괘법동,감전동,감전동,감전동,주례1동,주례1동,주례1동,주례2동,주례2동,주례2동,주례3동,주례3동,주례3동,학장동,학장동,학장동,엄궁동,엄궁동,엄궁동
"연령별(1)",연령별(2),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명)
"15세∼19세",19세,1699,856,843,29,18,11,206,109,97,43,18,25,85,52,33,106,61,45,156,75,81,76,39,37,133,69,64,293,129,164,126,56,70,211,101,110,235,129,106
"20세∼24세",소계,11108,5734,5374,190,110,80,1196,638,558,265,164,101,559,306,253,570,303,267,1761,771,990,479,252,227,805,426,379,2038,983,1055,684,364,320,1270,692,578,1291,725,566
"20세∼24세",20세,1736,839,897,29,15,14,185,108,77,42,23,19,100,64,36,80,40,40,154,67,87,75,38,37,145,68,77,350,116,234,115,59,56,212,113,99,249,128,121
"20세∼24세",21세,1868,928,940,34,18,16,213,119,94,40,23,17,94,51,43,113,55,58,245,101,144,82,48,34,135,77,58,343,119,224,133,65,68,216,123,93,220,129,91
"20세∼24세",22세,2232,1180,1052,33,18,15,248,117,131,54,34,20,122,56,66,133,81,52,347,150,197,92,50,42,165,96,69,401,221,180,121,68,53,268,143,125,248,146,102
"20세∼24세",23세,2642,1388,1254,52,31,21,266,127,139,75,49,26,129,73,56,121,67,54,502,222,280,121,66,55,176,85,91,482,269,213,149,81,68,281,150,131,288,168,120
"20세∼24세",24세,2630,1399,1231,42,28,14,284,167,117,54,35,19,114,62,52,123,60,63,513,231,282,109,50,59,184,100,84,462,258,204,166,91,75,293,163,130,286,154,132
"25세∼29세",소계,13820,7337,6483,255,137,118,1608,878,730,296,171,125,645,369,276,776,412,364,2980,1432,1548,790,446,344,1044,541,503,1856,1011,845,786,394,392,1385,765,620,1399,781,618
"25세∼29세",25세,2573,1348,1225,45,28,17,291,162,129,52,22,30,101,58,43,139,72,67,502,231,271,131,65,66,194,98,96,402,211,191,151,72,79,267,159,108,298,170,128
"25세∼29세",26세,2692,1402,1290,53,26,27,278,146,132,44,27,17,128,73,55,128,64,64,602,283,319,154,89,65,200,115,85,401,217,184,141,73,68,269,130,139,294,159,135
"25세∼29세",27세,2746,1452,1294,53,26,27,323,169,154,64,36,28,122,71,51,185,103,82,594,283,311,157,91,66,202,100,102,332,182,150,170,83,87,280,161,119,264,147,117
"25세∼29세",28세,2828,1529,1299,47,28,19,359,208,151,55,37,18,143,80,63,152,84,68,621,300,321,164,98,66,220,108,112,357,194,163,164,85,79,277,152,125,269,155,114
"25세∼29세",29세,2981,1606,1375,57,29,28,357,193,164,81,49,32,151,87,64,172,89,83,661,335,326,184,103,81,228,120,108,364,207,157,160,81,79,292,163,129,274,150,124
"30세∼34세",소계,13387,7309,6078,249,140,109,1646,880,766,317,188,129,884,481,403,728,400,328,2540,1405,1135,748,434,314,1215,640,575,1552,867,685,728,391,337,1385,757,628,1395,726,669
"30세∼34세",30세,2907,1602,1305,48,27,21,348,192,156,62,39,23,176,98,78,175,90,85,608,307,301,145,90,55,253,129,124,320,188,132,181,97,84,313,189,124,278,156,122
"30세∼34세",31세,2906,1567,1339,58,34,24,338,180,158,76,45,31,186,99,87,138,80,58,577,311,266,141,84,57,268,150,118,358,189,169,148,75,73,301,165,136,317,155,162
"30세∼34세",32세,2754,1513,1241,53,36,17,356,192,164,67,43,24,180,91,89,163,97,66,490,276,214,164,83,81,244,133,111,324,184,140,139,74,65,270,142,128,304,162,142
"30세∼34세",33세,2426,1357,1069,47,23,24,305,172,133,55,34,21,156,88,68,124,70,54,449,280,169,156,95,61,214,111,103,286,156,130,123,71,52,268,136,132,243,121,122
"30세∼34세",34세,2394,1270,1124,43,20,23,299,144,155,57,27,30,186,105,81,128,63,65,416,231,185,142,82,60,236,117,119,264,150,114,137,74,63,233,125,108,253,132,121
"35세∼39세",소계,10601,5795,4806,235,117,118,1356,744,612,246,126,120,818,448,370,568,300,268,1509,874,635,585,352,233,1065,590,475,1107,615,492,561,309,252,1247,640,607,1304,680,624
"35세∼39세",35세,2109,1161,948,40,20,20,291,157,134,49,27,22,157,83,74,114,65,49,309,174,135,119,67,52,209,108,101,216,115,101,118,70,48,239,137,102,248,138,110
"35세∼39세",36세,2181,1185,996,42,21,21,282,161,121,36,17,19,165,76,89,127,72,55,333,200,133,123,72,51,221,129,92,232,127,105,115,59,56,251,123,128,254,128,126
"35세∼39세",37세,2104,1197,907,50,27,23,249,133,116,50,24,26,172,104,68,113,60,53,293,183,110,116,74,42,212,122,90,238,145,93,105,57,48,222,107,115,284,161,123
"35세∼39세",38세,2145,1164,981,58,21,37,250,143,107,63,32,31,168,100,68,101,45,56,330,180,150,107,66,41,210,115,95,209,117,92,114,61,53,279,148,131,256,136,120
"35세∼39세",39세,2062,1088,974,45,28,17,284,150,134,48,26,22,156,85,71,113,58,55,244,137,107,120,73,47,213,116,97,212,111,101,109,62,47,256,125,131,262,117,145
"40세∼44세",소계,13631,7200,6431,264,158,106,1712,888,824,435,258,177,859,443,416,781,422,359,1543,861,682,736,441,295,1137,594,543,1490,778,712,777,419,358,2014,1046,968,1883,892,991
"40세∼44세",40세,2414,1275,1139,47,26,21,274,145,129,64,35,29,156,78,78,121,61,60,307,169,138,132,82,50,205,106,99,283,155,128,139,79,60,367,186,181,319,153,166
"40세∼44세",41세,2735,1423,1312,55,30,25,360,192,168,90,45,45,182,92,90,155,80,75,305,168,137,131,75,56,224,114,110,308,166,142,163,83,80,405,212,193,357,166,191
"40세∼44세",42세,2886,1515,1371,50,27,23,347,186,161,88,57,31,185,93,92,166,93,73,347,192,155,162,93,69,244,128,116,288,144,144,153,74,79,458,246,212,398,182,216
"40세∼44세",43세,2777,1518,1259,56,36,20,355,183,172,89,60,29,175,87,88,169,88,81,299,181,118,147,90,57,253,139,114,315,169,146,157,90,67,400,213,187,362,182,180
"40세∼44세",44세,2819,1469,1350,56,39,17,376,182,194,104,61,43,161,93,68,170,100,70,285,151,134,164,101,63,211,107,104,296,144,152,165,93,72,384,189,195,447,209,238
"45세∼49세",소계,12940,6799,6141,271,155,116,1665,876,789,510,299,211,719,374,345,745,414,331,1275,691,584,698,403,295,1013,534,479,1441,744,697,800,394,406,1928,988,940,1875,927,948
"45세∼49세",45세,2416,1324,1092,44,21,23,306,161,145,93,58,35,134,63,71,139,71,68,237,126,111,130,78,52,188,106,82,297,168,129,135,69,66,348,204,144,365,199,166
"45세∼49세",46세,2539,1319,1220,55,33,22,328,170,158,96,49,47,138,81,57,154,87,67,261,147,114,118,69,49,217,115,102,291,142,149,155,73,82,347,167,180,379,186,193
"45세∼49세",47세,2450,1283,1167,48,29,19,326,178,148,85,51,34,127,60,67,133,76,57,241,115,126,139,83,56,205,114,91,271,138,133,149,70,79,402,200,202,324,169,155
"45세∼49세",48세,2653,1375,1278,52,32,20,342,178,164,115,73,42,145,78,67,155,87,68,255,146,109,155,78,77,193,94,99,288,144,144,154,69,85,402,203,199,397,193,204
"45세∼49세",49세,2882,1498,1384,72,40,32,363,189,174,121,68,53,175,92,83,164,93,71,281,157,124,156,95,61,210,105,105,294,152,142,207,113,94,429,214,215,410,180,230
"50세∼54세",소계,16844,8486,8358,465,273,192,2162,1082,1080,726,417,309,897,444,453,1016,487,529,1740,912,828,1010,553,457,1373,617,756,1715,868,847,1051,517,534,2355,1178,1177,2334,1138,1196
"50세∼54세",50세,3122,1620,1502,89,49,40,413,207,206,136,83,53,161,81,80,187,92,95,303,171,132,189,113,76,240,104,136,330,173,157,189,103,86,412,194,218,473,250,223
"50세∼54세",51세,3150,1579,1571,85,49,36,405,209,196,121,68,53,175,80,95,189,95,94,306,161,145,164,84,80,259,119,140,356,178,178,194,87,107,470,244,226,426,205,221
"50세∼54세",52세,3290,1663,1627,73,45,28,414,201,213,133,78,55,173,89,84,180,90,90,345,186,159,215,126,89,260,111,149,327,176,151,214,116,98,498,232,266,458,213,245
"50세∼54세",53세,3525,1759,1766,100,58,42,430,230,200,178,99,79,197,86,111,211,108,103,370,186,184,219,105,114,289,143,146,338,159,179,227,98,129,466,247,219,500,240,260
"50세∼54세",54세,3757,1865,1892,118,72,46,500,235,265,158,89,69,191,108,83,249,102,147,416,208,208,223,125,98,325,140,185,364,182,182,227,113,114,509,261,248,477,230,247
"55세∼59세",소계,19507,9612,9895,613,342,271,2558,1208,1350,960,485,475,1086,563,523,1221,587,634,2215,1165,1050,1327,731,596,1637,787,850,1745,839,906,1132,505,627,2547,1229,1318,2466,1171,1295
