year,month,value
2021.0,1.0,34.8
2021.0,2.0,16.9
2021.0,3.0,162.5
2021.0,4.0,93.1
2021.0,5.0,135.600001
2021.0,6.0,111.6
2021.0,7.0,421.4
2021.0,8.0,359.300001
2021.0,9.0,100.600001
2021.0,10.0,23.1
2021.0,11.0,64.10000000000001
2021.0,12.0,3.5
