"연령별(1)",연령별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"연령별(1)",연령별(2),영도구,영도구,영도구,남항동,남항동,남항동,영선1동,영선1동,영선1동,영선2동,영선2동,영선2동,신선동,신선동,신선동,봉래1동,봉래1동,봉래1동,봉래2동,봉래2동,봉래2동,청학1동,청학1동,청학1동,청학2동,청학2동,청학2동,동삼1동,동삼1동,동삼1동,동삼2동,동삼2동,동삼2동,동삼3동,동삼3동,동삼3동
"연령별(1)",연령별(2),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명)
"20세∼24세",20세,758,421,337,52,35,17,22,11,11,58,32,26,42,27,15,42,24,18,36,22,14,30,15,15,134,79,55,233,118,115,57,30,27,52,28,24
"20세∼24세",21세,797,414,383,55,34,21,18,8,10,45,26,19,46,29,17,46,18,28,61,34,27,47,23,24,138,83,55,238,116,122,56,17,39,47,26,21
"20세∼24세",22세,985,544,441,75,43,32,38,25,13,66,37,29,57,33,24,47,30,17,65,36,29,36,19,17,142,77,65,316,172,144,79,36,43,64,36,28
"20세∼24세",23세,1094,614,480,104,43,61,29,14,15,68,42,26,58,30,28,55,21,34,43,22,21,50,23,27,141,91,50,367,210,157,110,79,31,69,39,30
"20세∼24세",24세,1040,596,444,107,58,49,42,20,22,76,40,36,43,18,25,70,34,36,52,30,22,46,25,21,153,81,72,323,195,128,72,58,14,56,37,19
"25세∼29세",소계,5097,2767,2330,525,269,256,164,81,83,343,180,163,285,156,129,267,163,104,330,169,161,209,109,100,797,421,376,1500,809,691,323,205,118,354,205,149
"25세∼29세",25세,1042,565,477,97,49,48,25,10,15,70,30,40,48,26,22,51,35,16,72,31,41,43,24,19,143,80,63,326,176,150,86,53,33,81,51,30
"25세∼29세",26세,1017,562,455,108,57,51,47,21,26,65,37,28,55,32,23,44,27,17,59,34,25,34,16,18,163,84,79,299,169,130,71,46,25,72,39,33
"25세∼29세",27세,1030,563,467,111,60,51,38,18,20,70,43,27,50,27,23,58,36,22,67,37,30,39,27,12,172,80,92,294,154,140,61,39,22,70,42,28
"25세∼29세",28세,961,490,471,98,46,52,23,14,9,63,23,40,56,27,29,55,30,25,58,24,34,35,18,17,151,80,71,300,153,147,54,32,22,68,43,25
"25세∼29세",29세,1047,587,460,111,57,54,31,18,13,75,47,28,76,44,32,59,35,24,74,43,31,58,24,34,168,97,71,281,157,124,51,35,16,63,30,33
"30세∼34세",소계,5007,2735,2272,482,257,225,163,86,77,364,207,157,254,143,111,291,161,130,372,199,173,247,124,123,818,471,347,1410,758,652,269,141,128,337,188,149
"30세∼34세",30세,1018,557,461,109,62,47,34,22,12,76,44,32,59,32,27,57,27,30,70,33,37,45,20,25,173,101,72,268,143,125,56,34,22,71,39,32
"30세∼34세",31세,1126,638,488,98,43,55,42,23,19,78,40,38,65,41,24,64,38,26,78,44,34,64,36,28,179,112,67,331,190,141,50,27,23,77,44,33
"30세∼34세",32세,1012,547,465,91,54,37,33,21,12,82,43,39,52,25,27,52,30,22,72,37,35,55,29,26,177,104,73,270,135,135,54,29,25,74,40,34
"30세∼34세",33세,926,497,429,94,51,43,30,11,19,62,36,26,45,25,20,59,32,27,82,52,30,33,17,16,142,73,69,273,146,127,43,19,24,63,35,28
"30세∼34세",34세,925,496,429,90,47,43,24,9,15,66,44,22,33,20,13,59,34,25,70,33,37,50,22,28,147,81,66,268,144,124,66,32,34,52,30,22
"35세∼39세",소계,4657,2498,2159,441,255,186,138,67,71,291,150,141,235,156,79,276,150,126,347,185,162,216,109,107,719,394,325,1354,688,666,309,157,152,331,187,144
"35세∼39세",35세,902,470,432,86,46,40,29,12,17,66,38,28,50,34,16,63,34,29,55,21,34,30,15,15,129,73,56,253,127,126,56,29,27,85,41,44
"35세∼39세",36세,844,448,396,85,44,41,15,3,12,55,25,30,30,21,9,48,22,26,68,45,23,45,25,20,144,77,67,239,124,115,55,27,28,60,35,25
"35세∼39세",37세,925,528,397,89,60,29,31,19,12,61,38,23,48,29,19,52,33,19,68,40,28,52,28,24,150,91,59,263,129,134,55,28,27,56,33,23
"35세∼39세",38세,985,507,478,95,52,43,27,15,12,49,21,28,44,32,12,63,32,31,76,32,44,30,15,15,166,85,81,297,147,150,76,41,35,62,35,27
"35세∼39세",39세,1001,545,456,86,53,33,36,18,18,60,28,32,63,40,23,50,29,21,80,47,33,59,26,33,130,68,62,302,161,141,67,32,35,68,43,25
"40세∼44세",소계,6732,3513,3219,612,338,274,208,115,93,427,230,197,358,196,162,383,210,173,552,278,274,357,188,169,1121,564,557,1848,930,918,393,212,181,473,252,221
"40세∼44세",40세,1210,634,576,124,74,50,32,18,14,77,41,36,62,29,33,70,40,30,96,48,48,55,26,29,203,108,95,331,166,165,75,38,37,85,46,39
"40세∼44세",41세,1305,678,627,108,57,51,38,13,25,86,52,34,63,27,36,75,44,31,119,58,61,61,33,28,220,112,108,367,187,180,75,48,27,93,47,46
"40세∼44세",42세,1381,720,661,117,54,63,44,26,18,77,40,37,66,41,25,85,46,39,112,54,58,89,52,37,242,126,116,369,184,185,86,46,40,94,51,43
"40세∼44세",43세,1439,763,676,142,81,61,48,31,17,95,49,46,86,49,37,76,40,36,114,62,52,71,36,35,223,109,114,400,203,197,80,45,35,104,58,46
"40세∼44세",44세,1397,718,679,121,72,49,46,27,19,92,48,44,81,50,31,77,40,37,111,56,55,81,41,40,233,109,124,381,190,191,77,35,42,97,50,47
"45세∼49세",소계,6846,3591,3255,629,357,272,220,114,106,435,223,212,425,242,183,420,242,178,517,274,243,412,211,201,1155,579,576,1784,875,909,365,206,159,484,268,216
"45세∼49세",45세,1244,660,584,107,58,49,40,23,17,81,39,42,70,39,31,75,43,32,95,58,37,67,35,32,217,104,113,320,160,160,82,50,32,90,51,39
"45세∼49세",46세,1301,698,603,116,66,50,49,26,23,77,38,39,77,39,38,81,53,28,99,38,61,69,42,27,220,119,101,358,188,170,69,41,28,86,48,38
"45세∼49세",47세,1283,677,606,120,71,49,37,16,21,83,45,38,80,49,31,78,43,35,92,50,42,85,39,46,219,116,103,335,172,163,62,29,33,92,47,45
"45세∼49세",48세,1453,748,705,137,86,51,48,26,22,85,46,39,93,60,33,91,44,47,123,67,56,101,41,60,234,109,125,376,178,198,65,36,29,100,55,45
"45세∼49세",49세,1565,808,757,149,76,73,46,23,23,109,55,54,105,55,50,95,59,36,108,61,47,90,54,36,265,131,134,395,177,218,87,50,37,116,67,49
"50세∼54세",소계,8733,4527,4206,836,452,384,278,139,139,589,289,300,639,365,274,477,264,213,621,319,302,450,248,202,1426,751,675,2342,1134,1208,377,189,188,698,377,321
"50세∼54세",50세,1698,872,826,176,84,92,45,22,23,90,37,53,129,83,46,98,47,51,144,68,76,80,47,33,260,140,120,478,242,236,73,35,38,125,67,58
"50세∼54세",51세,1716,920,796,163,92,71,64,37,27,111,55,56,114,68,46,93,48,45,131,72,59,82,47,35,277,145,132,473,246,227,76,44,32,132,66,66
"50세∼54세",52세,1736,907,829,173,94,79,55,25,30,137,72,65,135,68,67,95,49,46,109,54,55,89,49,40,257,143,114,460,232,228,74,35,39,152,86,66
"50세∼54세",53세,1801,943,858,155,87,68,49,25,24,109,54,55,145,83,62,92,65,27,114,67,47,106,56,50,340,173,167,472,209,263,81,42,39,138,82,56
"50세∼54세",54세,1782,885,897,169,95,74,65,30,35,142,71,71,116,63,53,99,55,44,123,58,65,93,49,44,292,150,142,459,205,254,73,33,40,151,76,75
"55세∼59세",소계,9026,4605,4421,933,529,404,336,156,180,655,315,340,653,383,270,481,244,237,614,311,303,412,215,197,1444,720,724,2419,1178,1241,339,179,160,740,375,365
"55세∼59세",55세,1875,950,925,190,108,82,63,32,31,128,59,69,141,86,55,87,41,46,130,73,57,80,41,39,303,147,156,530,257,273,73,41,32,150,65,85
"55세∼59세",56세,1848,958,890,176,106,70,66,32,34,134,66,68,134,79,55,95,52,43,121,53,68,89,53,36,291,142,149,511,247,264,64,39,25,167,89,78
"55세∼59세",57세,1781,953,828,189,117,72,75,33,42,118,58,60,131,77,54,101,54,47,121,59,62,84,43,41,259,137,122,499,261,238,66,36,30,138,78,60
"55세∼59세",58세,1794,905,889,200,106,94,75,34,41,141,69,72,120,68,52,103,50,53,129,69,60,66,34,32,287,144,143,453,224,229,65,30,35,155,77,78
"55세∼59세",59세,1728,839,889,178,92,86,57,25,32,134,63,71,127,73,54,95,47,48,113,57,56,93,44,49,304,150,154,426,189,237,71,33,38,130,66,64
"60세∼64세",소계,11076,5404,5672,1104,575,529,424,193,231,820,404,416,832,423,409,698,347,351,655,323,332,575,284,291,1718,811,907,2773,1310,1463,376,192,184,1101,542,559
"60세∼64세",60세,1791,929,862,178,96,82,61,27,34,131,69,62,147,84,63,109,60,49,115,60,55,94,50,44,269,134,135,447,211,236,57,33,24,183,105,78
"60세∼64세",61세,2141,1069,1072,187,102,85,81,37,44,172,87,85,140,79,61,138,65,73,125,67,58,119,51,68,349,167,182,557,276,281,60,31,29,213,107,106
"60세∼64세",62세,2344,1093,1251,242,119,123,83,37,46,180,89,91,184,89,95,148,72,76,144,72,72,119,61,58,346,161,185,581,259,322,91,38,53,226,96,130
