bstopnm,geometry,ADM_NM
동대고개,POINT (129.02175431303 35.116056837623),동대신3동
동대고개,POINT (129.02234 35.1158766667),동대신2동
대신여중,POINT (129.0257783333 35.1133),동대신2동
대신여중,POINT (129.02608 35.113005),동대신2동
락서암,POINT (129.0246133333 35.1103566667),동대신1동
락서암,POINT (129.0248 35.11077),동대신1동
혜광고교,POINT (129.024399699129 35.108989338244),동대신1동
화랑초등학교,POINT (129.022717806722 35.109833050038),동대신1동
화랑초등학교,POINT (129.022365 35.1099833333),동대신1동
동대시장,POINT (129.019941113593 35.110655016654),동대신1동
동대시장.동대신역,POINT (129.018450139125 35.110410037154),동대신2동
부산터널입구,POINT (129.022844825411 35.111663960728),동대신1동
서여고,POINT (129.0212833333 35.1126283333),동대신2동
서여고,POINT (129.0201366667 35.1140133333),동대신3동
동신초등학교입구,POINT (129.0192616667 35.1145383333),동대신3동
동신초등학교,POINT (129.01817 35.11513),동대신3동
동신초등학교,POINT (129.0191816667 35.1148433333),동대신3동
동신초등학교,POINT (129.018350262196 35.115287623633),동대신3동
문화아파트,POINT (129.016648274889 35.115445836323),동대신3동
부경고교,POINT (129.0140116667 35.114255),서대신3동
구덕운동장,POINT (129.0139233333 35.1138633333),서대신3동
부경고교,POINT (129.0136116667 35.1132816667),서대신3동
삼육부산병원,POINT (129.011595 35.112665),서대신3동
삼육부산병원.서대신역,POINT (129.0119116667 35.1115966667),서대신1동
서대신교차로.서대신역,POINT (129.0111201 35.11057689),서대신1동
광민약국.서대신동,POINT (129.0098166667 35.1110683333),서대신1동
광민약국.서대신동,POINT (129.009755 35.1109983333),서대신3동
서대신역.서부경찰서,POINT (129.01316 35.11043),서대신1동
서대신역.서대신교차로,POINT (129.013231714115 35.112256686977),서대신3동
부경고교,POINT (129.01382 35.11351),서대신3동
구덕운동장(종점),POINT (129.0157633333 35.11389),서대신3동
구덕운동장,POINT (129.01605 35.1133516667),서대신3동
서대신우체국,POINT (129.01649139909 35.112902528143),동대신3동
동대신역,POINT (129.017151791263 35.111077651761),서대신1동
서대시장.동대신역,POINT (129.016797275181 35.109864798396),서대신1동
서대시장,POINT (129.0161716667 35.10945),서대신1동
서대시장.동대신역,POINT (129.01739670669 35.109791509607),서대신1동
서부교회,POINT (129.0183 35.1091866667),서대신1동
서부교회,POINT (129.01924 35.1086766667),동대신1동
서부교회,POINT (129.019621486073 35.107968269589),서대신1동
대진아파트,POINT (129.0244833333 35.0872766667),남부민2동
동아대부민캠퍼스,POINT (129.0200916667 35.106025),부민동
동아대학교병원,POINT (129.016650163503 35.119427715614),동대신3동
동아대부민캠퍼스,POINT (129.020154 35.105652),부민동
동아대부민캠퍼스,POINT (129.020238685449 35.104979643035),부민동
대진아파트,POINT (129.0245783333 35.0873566667),남부민1동
영락교회,POINT (129.02061 35.1033833333),부민동
영락교회,POINT (129.020771934178 35.103172436155),부민동
부산대학병원.토성역,POINT (129.019925 35.1013433333),충무동
부산대학병원.토성역,POINT (129.0197783333 35.1013383333),아미동
토성역.아미동입구,POINT (129.018015 35.09994),아미동
토성역.아미동입구,POINT (129.01867 35.0998),아미동
아동보호종합센터,POINT (129.0158716667 35.1000166667),아미동
양성슈퍼,POINT (129.0133566667 35.1002233333),아미동
까치새길입구,POINT (129.01153 35.10138),아미동
아름다운교회,POINT (129.0109616667 35.10309),아미동
아름다운교회,POINT (129.010835 35.1028133333),아미동
까치새길입구,POINT (129.0114516667 35.1013933333),아미동
양성슈퍼,POINT (129.0135116667 35.1000983333),아미동
아동보호종합센터,POINT (129.0160533333 35.1000283333),아미동
아미치안센터,POINT (129.016077491103 35.099435021404),아미동
아미치안센터,POINT (129.016805 35.100007),아미동
아미초등학교,POINT (129.017205 35.0977433333),아미동
아미초등학교,POINT (129.0172216667 35.0978),아미동
토성동,POINT (129.0205283333 35.09805),초장동
부산대학병원.토성역,POINT (129.020131243037 35.098960163217),충무동
토성동,POINT (129.02083 35.0979333333),충무동
암남공원,POINT (129.019225 35.0631183333),암남동
서구청,POINT (129.025152229487 35.097647885044),충무동
충무동해안시장,POINT (129.025246431282 35.09615735956),충무동
충무동해안시장,POINT (129.025895 35.0963183333),남포동
자갈치역.충무동해안시장,POINT (129.024512762525 35.095774249314),충무동
충무동교차로,POINT (129.0242666667 35.0956266667),충무동
자갈치역.충무동교차로,POINT (129.023802582702 35.096626837849),충무동
충무동교차로,POINT (129.0231016667 35.0966633333),충무동
충무동교차로,POINT (129.023415 35.0964616667),충무동
하동상회,POINT (129.0182383333 35.0962383333),초장동
하동상회,POINT (129.0182516667 35.096015),초장동
초장중학교,POINT (129.0190866667 35.094505),초장동
초장중학교,POINT (129.019 35.0943783333),초장동
초장동,POINT (129.018435964282 35.092856705727),초장동
초장동,POINT (129.01875 35.09255),초장동
대원사,POINT (129.020005 35.091555),남부민1동
대원사,POINT (129.0199616667 35.0916366667),남부민1동
남부민시장입구,POINT (129.022126937903 35.092653874934),남부민1동
남부민시장입구,POINT (129.022078702617 35.093138197384),남부민1동
충무쇼핑.충무동새벽시장,POINT (129.023895 35.092815),남부민1동
충무쇼핑.충무동새벽시장,POINT (129.0240266667 35.0928016667),남부민1동
공동어시장,POINT (129.024375 35.089665),남부민1동
공동어시장,POINT (129.024305 35.0889783333),남부민1동
