bstopnm,geometry,ADM_NM
동백역,POINT (129.147316362898 35.161585480273),우3동
올림픽교차로환승센터,POINT (129.137019078828 35.167710579348),우2동
운촌,POINT (129.151825151396 35.160288797771),우1동
운촌,POINT (129.151121802749 35.160039962127),우1동
해운대도시철도역,POINT (129.158638633265 35.163578357232),우1동
해운대도시철도역,POINT (129.158406995905 35.163325660812),우1동
해운대구청어귀삼거리,POINT (129.16165684571 35.165254706624),우1동
감천초등학교,POINT (129.009810617288 35.082536813594),감천1동
감천초등학교,POINT (129.0093766667 35.08269),감천1동
남성한빛가든,POINT (129.0087683333 35.0842166667),감천1동
남성한빛가든,POINT (129.0088983333 35.084415),감천1동
감천사거리,POINT (129.005913888639 35.086660977012),감천1동
감천우체국,POINT (129.0051766667 35.0877883333),감천1동
영합의원,POINT (129.0056366667 35.0894383333),감천1동
영합의원,POINT (129.0053966667 35.08891),감천1동
부산천연가스발전소,POINT (129.00278847495 35.088261047263),감천1동
부일전자디자인고교,POINT (129.000828982617 35.088736080224),감천1동
부일전자디자인고교,POINT (128.999505 35.0899466667),감천1동
삼성여고,POINT (128.99776 35.09087),감천1동
삼성여고,POINT (128.99758 35.0907733333),감천1동
구평고개,POINT (128.9940316667 35.0879966667),구평동
구평화신아파트,POINT (128.993117116626 35.086411551799),구평동
구평초등학교,POINT (128.990362521298 35.085944613779),구평동
YK스틸,POINT (128.986153789163 35.085833750559),구평동
YK스틸,POINT (128.986423419424 35.085585865316),구평동
구평초등학교,POINT (128.9905716667 35.0855033333),구평동
구평화신아파트,POINT (128.993445 35.08648),구평동
구평고개,POINT (128.994195 35.0879783333),구평동
감천삼거리,POINT (128.993696963886 35.091465681739),감천1동
감천삼거리,POINT (128.993329819001 35.091499198319),감천1동
감천삼거리,POINT (128.99296 35.09347),괴정3동
감천삼거리,POINT (128.9927633333 35.093635),괴정1동
삼풍아파트,POINT (128.993453327899 35.095924919349),괴정1동
뉴코아아울렛,POINT (128.9940333333 35.098065),괴정3동
괴정사거리,POINT (128.99354 35.0990033333),괴정1동
괴정시장,POINT (128.99547 35.10088),괴정3동
괴정초등학교,POINT (128.9983916667 35.102315),괴정3동
괴정초등학교.대티역,POINT (128.999635 35.102945),괴정2동
대티터널입구,POINT (129.0035133333 35.1037233333),괴정2동
부영아파트,POINT (129.005801294441 35.105273602734),괴정2동
대티고개,POINT (129.0081383333 35.1070616667),괴정2동
대티고개,POINT (129.0071766667 35.1066266667),괴정2동
괴정2치안센터,POINT (129.0039566667 35.1055416667),괴정2동
괴정2치안센터,POINT (129.003714403614 35.105518249783),괴정2동
대티역,POINT (129.001295 35.1038933333),괴정2동
대티역,POINT (129.001075 35.10387),괴정2동
괴정초등학교.대티역,POINT (128.9995383333 35.1030983333),괴정2동
괴정초등학교,POINT (128.998359903057 35.102586523493),괴정3동
괴정시장,POINT (128.9962216667 35.1015),괴정3동
괴정시장.괴정역,POINT (128.993816889124 35.100514777067),괴정3동
괴정역.괴정사거리,POINT (128.9920983333 35.0999316667),괴정1동
괴정자유아파트,POINT (128.988625 35.0993233333),괴정1동
괴정자유아파트,POINT (128.98938 35.0991333333),괴정1동
신평입구,POINT (128.98642 35.097655),괴정1동
사남신익아파트,POINT (128.9836266667 35.0965583333),괴정4동
사남초등학교,POINT (128.981115 35.0966216667),괴정4동
신평배고개,POINT (128.978607912894 35.096154747212),신평1동
신평배고개,POINT (128.977477748123 35.095768877108),신평1동
사남초등학교,POINT (128.9808266667 35.0967166667),괴정4동
사남신익아파트,POINT (128.9833383333 35.0966733333),괴정4동
신평입구,POINT (128.9862666667 35.097365),괴정1동
괴정삼익아파트,POINT (128.9857033333 35.0992783333),괴정4동
괴정삼익아파트,POINT (128.9852866667 35.0995216667),괴정4동
사하역,POINT (128.9807566667 35.1004833333),괴정4동
사하역,POINT (128.98112 35.1002233333),괴정4동
당리중학교,POINT (128.9783 35.1015166667),당리동
당리중학교,POINT (128.9777483333 35.1021183333),당리동
사하구청.당리역,POINT (128.97594 35.1029833333),당리동
사하구청.당리역,POINT (128.9751482 35.102956271505),당리동
사하구청.당리역,POINT (128.9741833333 35.1035216667),당리동
낙동초등학교,POINT (128.97125 35.1044966667),당리동
낙동초등학교,POINT (128.9701983333 35.1048666667),당리동
낙동초등학교,POINT (128.970432612315 35.104466196522),하단1동
롯데마트,POINT (128.97198 35.0851416667),장림1동
하단SK뷰아파트앞,POINT (128.962485 35.1170983333),하단2동
하단역,POINT (128.9673933679 35.1057720498),하단1동
하단역,POINT (128.966053 35.106279),하단2동
하단역,POINT (128.965594 35.106239),하단2동
하단교차로,POINT (128.967766015218 35.107663612678),하단2동
에덴공원,POINT (128.965306431353 35.110647435091),하단2동
에덴공원,POINT (128.96566622615 35.110825194346),하단2동
에덴공원,POINT (128.96528082176 35.111409362826),하단2동
동아대입구,POINT (128.964211666157 35.11232060982),하단2동
동아대입구,POINT (128.9644283333 35.1125833333),하단2동
을숙도초등학교,POINT (128.9616716667 35.1147116667),하단2동
동아대입구,POINT (128.963851287141 35.113365853989),하단2동
동산삼거리,POINT (128.962585 35.1145766667),하단2동
을숙도초등학교(종점),POINT (128.9623333333 35.1144133333),하단2동
동산삼거리,POINT (128.962618583915 35.114096219245),하단2동
을숙도문화회관,POINT (128.94729310486 35.10801339432),하단2동
가락타운115동,POINT (128.95988 35.1125633333),하단2동
가락타운115동,POINT (128.95973 35.1125133333),하단2동
가락타운104동,POINT (128.9588133333 35.109185),하단2동
가락타운104동,POINT (128.9589416667 35.1090666667),하단2동
강변아파트,POINT (128.9583183333 35.1038666667),하단1동
강변아파트,POINT (128.958475 35.1047016667),하단1동
하단1동주민센터,POINT (128.963988960524 35.104312292151),하단1동
하단1동주민센터,POINT (128.9638136952 35.1039400012),하단1동
가락타운2.3지구,POINT (128.9609202565 35.1016531327),하단1동
가락타운2.3지구,POINT (128.9606246759 35.1017670263),하단1동
가락타운2.3단지,POINT (128.9582316667 35.1016033333),하단1동
가락타운2.3단지,POINT (128.9581466667 35.101415),하단1동
하남초등학교,POINT (128.9588466667 35.0990816667),하단1동
하남초등학교,POINT (128.9589816667 35.0989683333),하단1동
신남초등학교,POINT (128.960978671378 35.097659845462),신평2동
신남초등학교,POINT (128.961164722037 35.098131945126),신평2동
신남초등학교,POINT (128.9612865154 35.0976588015),신평2동
신평역,POINT (128.962075674742 35.094802579056),신평2동
신평역,POINT (128.962274097285 35.095267841499),신평2동
동성화학,POINT (128.9642145551 35.0913085765),신평2동
동성화학,POINT (128.9642704449 35.0917682037),신평2동
동성화학,POINT (128.964965096127 35.091226121353),신평1동
무지개아파트,POINT (128.96907773988 35.091031294162),신평1동
무지개아파트,POINT (128.9696373268 35.0911556326),신평1동
삼진냉장,POINT (128.971971666275 35.09105489326),신평1동
삼진냉장,POINT (128.972499047072 35.090836348729),신평1동
신평,POINT (128.973865 35.0935433333),신평1동
신평,POINT (128.97347 35.0930333333),신평1동
동매역,POINT (128.9731 35.0903766667),신평1동
동매역,POINT (128.9737916667 35.0896966667),신평1동
신평시장,POINT (128.9765466667 35.089735),신평1동
신평시장,POINT (128.976728924203 35.089549982907),신평1동
사하경찰서,POINT (128.9773816667 35.086175),신평1동
사하경찰서,POINT (128.977649372657 35.08609486566),신평1동
신평,POINT (128.979380076761 35.086121700177),신평1동
장림,POINT (128.979075 35.085135),장림2동
장림,POINT (128.97924 35.08494),장림2동
장림주유소,POINT (128.97853369881 35.083060718795),장림2동
제일제당,POINT (128.9773166667 35.0842166667),장림2동
제일제당,POINT (128.977505 35.08455),장림2동
자동차검사장.롯데마트,POINT (128.9733066667 35.085295),신평1동
제일전기,POINT (128.9680816667 35.0855066667),신평1동
제일전기,POINT (128.966353915916 35.085250206083),신평2동
한국주철관,POINT (128.965105 35.08628),신평2동
신평2동교차로,POINT (128.96525 35.088965),신평2동
신평2동교차로,POINT (128.964998601684 35.08932087383),신평2동
한국주철관,POINT (128.96496 35.0863733333),신평2동
장림포구입구,POINT (128.9648766667 35.084495),신평2동
장림포구입구,POINT (128.9650733333 35.08429),신평2동
장림시장,POINT (128.968097723039 35.081018285372),장림1동
장림시장,POINT (128.9676257 35.08103808),장림1동
장림시장,POINT (128.9681483333 35.080815),장림1동
장림중소기업은행,POINT (128.9702283333 35.0806366667),장림1동
장림중소기업은행,POINT (128.970875 35.0807133333),장림1동
장림우체국,POINT (128.9723616667 35.0806216667),장림1동
장림우체국,POINT (128.973158599733 35.080739498661),장림1동
장림초등학교,POINT (128.975864103656 35.080717120415),장림1동
장림초등학교,POINT (128.976153248918 35.080537717479),장림2동
장림역,POINT (128.9772616667 35.079985),장림2동
장림역,POINT (128.977435 35.080155),장림2동
영남중학교,POINT (128.977462513499 35.078363991796),장림2동
영남중학교,POINT (128.97721 35.078035),장림2동
신장림역,POINT (128.976508075762 35.074878663052),장림2동
신장림역,POINT (128.976869354969 35.07500029114),장림2동
고려냉장,POINT (128.976983883646 35.070792379067),장림2동
고려냉장,POINT (128.977416064813 35.070581137829),장림2동
성보냉장,POINT (128.977222121665 35.069058327946),장림2동
다대롯데캐슬블루,POINT (128.979333141539 35.067698888334),다대2동
다대롯데캐슬블루,POINT (128.979663275831 35.066378137849),다대2동
낫개역,POINT (128.979350492368 35.064266207324),다대2동
낫개역,POINT (128.9796283333 35.0643966667),다대2동
다대현대아파트,POINT (128.97721 35.06215),다대2동
다대현대아파트,POINT (128.976615189255 35.061637419806),다대2동
다대푸르지오아파트,POINT (128.9743083333 35.0605716667),다대1동
다대푸르지오아파트,POINT (128.9746166667 35.060575),다대1동
다대큰샘,POINT (128.97466 35.05878),다대1동
다대1동주민센터,POINT (128.972105 35.0590983333),다대1동
다대1동주민센터,POINT (128.97207 35.0588283333),다대1동
다대새마을금고,POINT (128.973492966119 35.057495701037),다대1동
다대포항역,POINT (128.970972925637 35.057439659631),다대1동
다대포항역,POINT (128.970819555943 35.056469058062),다대1동
다대포항역.다대수협,POINT (128.97155 35.05606),다대1동
다대회센터,POINT (128.971655 35.0550533333),다대1동
다대우신아파트,POINT (128.9706966667 35.0547633333),다대1동
다대우신아파트,POINT (128.970505 35.0545983333),다대1동
다대자유아파트,POINT (128.97069 35.0517016667),다대1동
다대자유아파트,POINT (128.970905 35.0516216667),다대1동
다대포해수욕장,POINT (128.9703116667 35.0499033333),다대1동
다대포해수욕장,POINT (128.970094361337 35.04906491192),다대1동
다대포해수욕장,POINT (128.969723926624 35.049039321512),다대1동
다대포해수욕장,POINT (128.9701233333 35.049945),다대1동
몰운대아파트,POINT (128.967637 35.050236),다대1동
몰운대아파트,POINT (128.967504993943 35.050065911728),다대1동
대우아파트,POINT (128.966615 35.050231),다대1동
대우아파트,POINT (128.96660032338 35.050022235451),다대1동
다대포해수욕장역,POINT (128.96559095782 35.048453341409),다대1동
다대포해수욕장역,POINT (128.965307948288 35.048234597859),다대1동
대동중고등학교,POINT (128.98387304898 35.085092916681),구평동
감천사거리,POINT (129.00681 35.0863016667),감천1동
영락교회,POINT (128.9705833333 35.1032716667),하단1동
대광고등학교,POINT (128.9730766667 35.1018833333),당리동
당리새마을금고,POINT (128.9756066667 35.102095),당리동
감천항동편부두,POINT (129.00551 35.08157),감천1동
유림아파트,POINT (128.993958498173 35.09082948809),감천1동
롯데캐슬201동앞,POINT (128.964413855531 35.059030242215),다대1동
롯데캐슬211동앞,POINT (128.96535801831 35.057620814231),다대1동
롯데캐슬215동앞,POINT (128.964625392453 35.056468599103),다대1동
롯데캐슬상가앞,POINT (128.962916 35.05598),다대1동
다대문화체육센터,POINT (128.9600487 35.05026117),다대1동
한성기린APT,POINT (128.97774857514 35.09306106865),신평1동
을숙도문화회관,POINT (128.946897586576 35.107773209458),하단1동
배고개,POINT (128.97655619491 35.094668175409),신평1동
장림1동행정복지센터,POINT (128.96591194382 35.082672088228),장림1동
장림1동행정복지센터,POINT (128.9658906468 35.082526121118),장림1동
동원로얄듀크아파트,POINT (128.96483007368 35.079171271323),장림1동
대동중고등학교,POINT (128.98298296773 35.084783115197),장림2동
하단교차로,POINT (128.967122680835 35.107903895636),하단2동
하단교차로,POINT (128.967387099958 35.107498575377),하단2동
감천119안전센터,POINT (129.0052514 35.08656985),감천1동
감천119안전센터,POINT (129.0050261 35.08632124),감천1동
감천항동편부두,POINT (129.0053457 35.08168839),감천1동
하단역,POINT (128.96759982753 35.105575745778),하단1동
동매교사거리,POINT (128.976545133183 35.100275235191),당리동
동매교사거리,POINT (128.9769114 35.10034363),괴정4동
신평시장,POINT (128.977967068031 35.090483199645),신평1동
한성기린아파트,POINT (128.9780541 35.09283838),신평1동
하단역,POINT (128.966001371673 35.106350878876),하단2동
협성르네상스타운아파트,POINT (128.9728173 35.07378249),장림2동
벽산마마아파트,POINT (128.9727794 35.07016032),장림2동
동원자동차정비공업사,POINT (128.974987494769 35.069066098268),장림2동
부산현대미술관,POINT (128.942177665722 35.108761330041),하단2동
성보냉장,POINT (128.977196273598 35.06922548723),장림2동
동원자동차정비공업사,POINT (128.974883581214 35.069231638305),장림2동
벽산마마아파트,POINT (128.972977857457 35.070434212022),장림2동
협성르네상스타운아파트,POINT (128.973076068876 35.073374998268),장림2동
효림초등학교,POINT (128.973035977297 35.076034143214),장림2동
효림초등학교,POINT (128.972772755314 35.076029431103),장림2동
장림우체국,POINT (128.972940795031 35.078910501448),장림2동
장림우체국,POINT (128.972657882639 35.079226015561),장림2동
동매역,POINT (128.974133925233 35.089865261385),신평1동
다송중학교,POINT (128.982743150078 35.063353777879),다대2동
다송중학교,POINT (128.983083336916 35.063370744281),다대2동
두송중학교,POINT (128.984220349137 35.060761224707),다대2동
두송중학교,POINT (128.984492365319 35.060905469328),다대2동
대선조선,POINT (128.99228371764 35.053295589347),다대2동
대선조선,POINT (128.992487470459 35.053562598282),다대2동
두송대선터널앞,POINT (128.995212063483 35.054288300185),구평동
두송대선터널앞,POINT (128.994875403088 35.053964921403),다대2동
한국선박수리공업,POINT (128.995451678288 35.057379953225),구평동
한국선박수리공업,POINT (128.994991993479 35.057405540674),다대2동
인터지스보세창고,POINT (128.991658326409 35.063642489053),구평동
인터지스보세창고,POINT (128.991634675396 35.063120188851),구평동
세방,POINT (128.99058932808 35.066561866994),구평동
세방,POINT (128.99026325591 35.066675362393),구평동
정현냉동,POINT (128.990615554281 35.071477410683),구평동
정현냉동,POINT (128.990283765504 35.071581988383),구평동
구평동,POINT (128.990633714475 35.075609051486),구평동
구평동,POINT (128.990295123351 35.075884950314),구평동
구평삼거리,POINT (128.990424512336 35.079406478507),구평동
구평삼거리,POINT (128.990098069624 35.079281166025),구평동
구평동주민센터,POINT (128.98673885289 35.081575712771),구평동
구평동주민센터,POINT (128.9867672497 35.081390504255),구평동
구평e편한세상입구,POINT (128.985834067887 35.08223937572),구평동
구평e편한세상입구,POINT (128.985762811039 35.082691119821),구평동
부산현대미술관,POINT (128.943493099369 35.108276144261),하단2동
괴정역.괴정사거리,POINT (128.992343904984 35.099723679839),괴정1동
구평삼거리,POINT (128.990219759779 35.080905808043),구평동
감천항제5부두,POINT (128.993702172693 35.083903600548),구평동
감천항해양파출소,POINT (128.997783067021 35.084458229982),감천1동
감천항해양파출소,POINT (128.998210464666 35.084451185369),감천1동
감천항제5부두,POINT (128.993579217286 35.08425708462),구평동
구평삼거리,POINT (128.989900667724 35.080406382503),구평동
사하구국민체육센터,POINT (128.998550886056 35.088068329363),감천1동
괴정동교차로,POINT (128.993735548522 35.095857251208),괴정3동
두구동 입구,POINT (129.102905 35.2975166667),선두구동
두구동 입구,POINT (129.1033183333 35.2976466667),선두구동
금정체육공원입구,POINT (129.098825 35.2915566667),청룡노포동
금정체육공원입구,POINT (129.09865 35.291745),청룡노포동
부산종합터미널.노포역,POINT (129.094317393 35.283665442077),청룡노포동
부산종합터미널.노포역,POINT (129.0946916667 35.2837916667),청룡노포동
노포삼거리,POINT (129.0935433333 35.28018),청룡노포동
노포삼거리,POINT (129.0933016667 35.2803266667),청룡노포동
범어사역,POINT (129.09247249832 35.274070646856),청룡노포동
범어사입구,POINT (129.090442745443 35.274892236775),청룡노포동
범어사입구,POINT (129.0896183333 35.27564),청룡노포동
범어사입구,POINT (129.09008 35.2755583333),청룡노포동
어린이놀이터,POINT (129.087514603685 35.275424313578),남산동
어린이놀이터,POINT (129.087927861008 35.275622676043),청룡노포동
한아름빌라,POINT (129.0851116667 35.2744833333),남산동
한아름빌라,POINT (129.084936473831 35.275169032903),남산동
남산동.요산문학관,POINT (129.085003130203 35.272221100164),남산동
남산동.요산문학관,POINT (129.0851533333 35.2716466667),남산동
남산동농협,POINT (129.0889566667 35.2725766667),남산동
남산동농협,POINT (129.08905 35.272485),남산동
팔송,POINT (129.0925666667 35.27174),남산동
범어사역,POINT (129.0928266667 35.271715),남산동
남산동새벽시장,POINT (129.0891116667 35.2692683333),남산동
남산동새벽시장,POINT (129.0890133333 35.2691333333),남산동
금샘초등학교,POINT (129.085255 35.2693833333),남산동
금샘초등학교,POINT (129.085076826504 35.269405991744),남산동
남산고교,POINT (129.084096562956 35.267059274838),남산동
남산고교,POINT (129.0843016667 35.2672916667),남산동
남산고등학교입구,POINT (129.08902 35.2676333333),남산동
남산고등학교입구,POINT (129.0891283333 35.2678333333),남산동
침례병원.남산역,POINT (129.0927916667 35.2661116667),남산동
침례병원.남산역,POINT (129.0925 35.2658833333),남산동
남산동럭키아파트,POINT (129.08878290977 35.26493553581),남산동
남산동럭키아파트,POINT (129.088624861166 35.265386530453),남산동
부산외국어대학교,POINT (129.085295 35.265655),남산동
부산외국어대학교,POINT (129.0853016667 35.2653366667),남산동
남산119안전센터,POINT (129.086664775853 35.261687512419),남산동
샘골공원,POINT (129.087483 35.2608217),구서2동
남산초등학교,POINT (129.088042 35.2624183),남산동
남산초등학교,POINT (129.088022957167 35.261722274668),남산동
남산프라자,POINT (129.0919033333 35.2631916667),남산동
남산프라자,POINT (129.0920533333 35.262795),남산동
두실역,POINT (129.091542095198 35.258340226219),구서2동
두실역,POINT (129.0912783333 35.258385),구서2동
선경3차아파트,POINT (129.087819287188 35.258700482578),구서2동
선경3차아파트,POINT (129.087685 35.2581433333),구서2동
신동아아파트,POINT (129.087616573466 35.255618365162),구서2동
신동아아파트,POINT (129.087836020935 35.256088069359),구서2동
행림병원,POINT (129.09133 35.2542933333),구서2동
행림병원,POINT (129.0915333333 35.2538066667),구서2동
롯데캐슬정문,POINT (129.087816710562 35.252632237456),구서2동
롯데캐슬정문,POINT (129.087639817881 35.252631319783),구서2동
롯데캐슬입구,POINT (129.087836932278 35.250938377644),구서2동
부산산업보건센터,POINT (129.0927833333 35.2750383333),청룡노포동
태광산업.구서역,POINT (129.0920833333 35.249095),구서1동
태광산업(구서역),POINT (129.0920633333 35.2481233333),구서1동
구서역.금정경찰서,POINT (129.092244980885 35.245771550893),구서1동
구서역.구서시장,POINT (129.088904416199 35.24634480362),구서1동
구서역.구서시장,POINT (129.088835 35.2470133333),구서1동
구서1치안센터,POINT (129.088308907098 35.2448774056),구서1동
구서1치안센터,POINT (129.0886516667 35.2450566667),구서1동
금정산쌍용예가.구서SK뷰,POINT (129.086669996277 35.243043050295),구서1동
금정산쌍용예가.구서SK뷰,POINT (129.08662783102 35.242672822474),장전1동
금정구청.부산가톨릭대,POINT (129.093204845217 35.242333768065),부곡3동
금정구청.부산가톨릭대,POINT (129.092770568977 35.242237403782),부곡3동
윤산터널입구,POINT (129.092892824666 35.240426361929),부곡3동
윤산터널입구,POINT (129.0923483333 35.2388083333),부곡3동
장전역,POINT (129.0879017 35.23835333),장전1동
장전초등학교,POINT (129.086547335699 35.240679121764),장전1동
장전초등학교,POINT (129.086312586768 35.239557610541),장전1동
장전동어린이놀이터,POINT (129.086362417511 35.238126678324),장전1동
장전중앙교회,POINT (129.0861033333 35.2352183333),장전1동
장전1치안센터,POINT (129.087738083356 35.235701229225),장전1동
경남한신아파트,POINT (129.0918133333 35.2357866667),부곡3동
경남한신아파트,POINT (129.0921733333 35.2365933333),부곡3동
현대아파트,POINT (129.085555 35.2331816667),장전1동
부산대학교정문,POINT (129.08693576559 35.232326028162),장전2동
부산대학교정문,POINT (129.08688957896 35.232162053281),장전2동
부산대역,POINT (129.08781088336 35.231040020499),장전2동
부산대앞부산은행,POINT (129.0863966667 35.2305466667),장전2동
범어사매표소,POINT (129.07308 35.2833416667),청룡노포동
부산대학교정문,POINT (129.0852 35.231855),장전2동
부산대학교정문,POINT (129.0850033333 35.2310866667),장전2동
부산대학교후문,POINT (129.08399491779 35.228592471075),장전2동
부산대학교후문,POINT (129.085392185157 35.228512555019),장전2동
금정초등학교,POINT (129.08599830827 35.227018249022),장전2동
금정초등학교,POINT (129.0857733333 35.2266466667),장전2동
금정초등학교,POINT (129.083035125077 35.226885398454),장전2동
금정초등학교,POINT (129.08297 35.2269683333),장전2동
경보아파트,POINT (129.0817783333 35.2253766667),장전2동
식물원입구,POINT (129.0816694587 35.2241644768),장전2동
식물원입구,POINT (129.082291 35.224232),장전2동
래미안장전남문,POINT (129.086101904066 35.224521934159),장전2동
온천장역,POINT (129.086872 35.221975),장전2동
온천입구,POINT (129.086352313 35.2175534539),부곡4동
동해중학교,POINT (129.0870783333 35.21789),부곡4동
부곡4동주민센터.온천장역,POINT (129.08831482496 35.220100085213),부곡4동
부곡4동주민센터.온천장역,POINT (129.0884402322 35.2206461645),부곡4동
부곡1치안센터,POINT (129.091053752 35.2218183024),부곡4동
부산정보관광고,POINT (129.0911566667 35.2238066667),부곡1동
부곡시장,POINT (129.09176901 35.2260311768),부곡2동
부곡대우아파트,POINT (129.090552019755 35.230882906936),부곡2동
부산대역.부곡대우아파트,POINT (129.0897633333 35.2311666667),부곡2동
금정세무서,POINT (129.092100995794 35.231579842024),부곡2동
금정세무서,POINT (129.092377 35.22995),부곡2동
금정이마트,POINT (129.09128 35.25072),구서1동
부곡시장,POINT (129.092018831456 35.226462399424),부곡2동
부산정보관광고,POINT (129.091288777526 35.223686405357),부곡1동
부곡1치안센터,POINT (129.091149929 35.2218304655),부곡4동
내성고등학교,POINT (129.092729082173 35.219532848502),부곡4동
내성고등학교,POINT (129.0925033333 35.2198016667),부곡4동
서동고개,POINT (129.095995464404 35.217045235057),서1동
서동고개,POINT (129.0948333333 35.2178583333),부곡4동
서1동새마을금고,POINT (129.098580180385 35.216615493819),서1동
서1동새마을금고,POINT (129.097824223616 35.216578224723),서1동
서3치안센터,POINT (129.101558717917 35.215298403858),서2동
서3치안센터,POINT (129.1022833333 35.2151183333),서2동
세웅병원,POINT (129.1041933333 35.21473),서3동
세웅병원후문,POINT (129.10307035237 35.21428826326),서2동
서동입구,POINT (129.104645 35.210875),서2동
동상초등학교.서동역,POINT (129.10713166642 35.212506862045),서2동
서동역,POINT (129.107324778325 35.213194042753),서2동
부산은행,POINT (129.106081798703 35.214342172825),서2동
라이프타운,POINT (129.1072416667 35.215085),서3동
금사입구,POINT (129.108900592605 35.214953946773),금사회동동
금사입구,POINT (129.1091583333 35.21419),금사회동동
금사전화국,POINT (129.1127883333 35.2151133333),금사회동동
금사전화국,POINT (129.113615 35.2152416667),금사회동동
서금지구대.금사역,POINT (129.116334686558 35.216074943815),금사회동동
서금지구대.금사역,POINT (129.116006356045 35.216233677226),금사회동동
금사중학교,POINT (129.110055 35.2174666667),금사회동동
금사중학입구,POINT (129.1096833333 35.217535),서3동
금사회동동주민센터,POINT (129.1110583333 35.2183916667),금사회동동
금사시장,POINT (129.11341 35.2211),금사회동동
금사시장,POINT (129.111405836705 35.220030759792),금사회동동
중소기업은행,POINT (129.1131733333 35.2221933333),금사회동동
동일고무벨트,POINT (129.1146116667 35.2228933333),금사회동동
부산예원고등학교,POINT (129.11624 35.22465),금사회동동
부산예원고등학교,POINT (129.115345 35.224885),금사회동동
욱성화학(주),POINT (129.1179733333 35.22672),금사회동동
욱성화학(주),POINT (129.118927426113 35.226601162721),금사회동동
회동본동,POINT (129.1202614438 35.2278200897),금사회동동
회동본동,POINT (129.1199866667 35.2285266667),금사회동동
회동동,POINT (129.123986265367 35.230438412219),금사회동동
남산성당,POINT (129.084880218313 35.264018494637),남산동
롯데캐슬입구,POINT (129.087644244524 35.250937353339),구서2동
범어사주차장,POINT (129.072645 35.2822233333),청룡노포동
상마마을.범어사박물관,POINT (129.0737166667 35.279235),청룡노포동
하마마을,POINT (129.077123405708 35.279644519516),청룡노포동
경동아파트,POINT (129.08633 35.28144),청룡노포동
지장암,POINT (129.078555 35.2813566667),청룡노포동
태광산업.구서역,POINT (129.0917466667 35.2492016667),구서1동
금정세무서,POINT (129.0923 35.230015),부곡2동
남문,POINT (129.0619766667 35.2417533333),장전1동
동문,POINT (129.0644566667 35.2432483333),장전1동
서1동새마을금고,POINT (129.09953054034 35.21610936711),서1동
광명사,POINT (129.076765358668 35.229668539908),장전2동
광명사,POINT (129.076414799422 35.230103250858),장전2동
양로원,POINT (129.076651369 35.2312582558),장전2동
남산성당,POINT (129.08504647371 35.263737463169),남산동
성불사입구,POINT (129.0897674 35.27981159),청룡노포동
동해중학교,POINT (129.08733282425 35.218613023534),부곡4동
구서역.금정경찰서,POINT (129.092321683926 35.245525882669),구서1동
장전역,POINT (129.08776917126 35.238293340487),장전1동
장전1치안센터,POINT (129.087482962089 35.235708732491),장전1동
부산대학교정문,POINT (129.086658115833 35.23226002667),장전2동
회동동,POINT (129.1242179985 35.2302349201),금사회동동
회동석대산단,POINT (129.1271355 35.23226714),금사회동동
회동석대산단,POINT (129.1273412 35.23215538),금사회동동
우성,POINT (129.1183198 35.22498524),금사회동동
삼한전자,POINT (129.1182731 35.22530146),금사회동동
금정문화회관,POINT (129.094723890892 35.245515427839),부곡3동
금정문화회관,POINT (129.0945263 35.24568637),구서1동
동래초등학교,POINT (129.097355480084 35.247745962882),구서1동
동래초등학교,POINT (129.096947691501 35.247690023118),구서1동
금단마을,POINT (129.0995618 35.25150156),구서1동
금단마을,POINT (129.0992452 35.25157915),구서1동
브니엘고등학교,POINT (129.10224461964 35.256733753965),구서1동
브니엘고등학교,POINT (129.102003 35.25680744),구서1동
건설안전시험사업소,POINT (129.1243589 35.23234521),금사회동동
스포원파크,POINT (129.103181776495 35.292293296863),선두구동
금정체육공원,POINT (129.102468678769 35.291494676608),선두구동
금정공영차고지,POINT (129.09808 35.28949),청룡노포동
회동화물자동차공영차고지,POINT (129.136029575064 35.242971396206),금사회동동
윤산터널입구,POINT (129.092142171808 35.239471066696),부곡3동
윤산터널입구,POINT (129.09074 35.239418),부곡3동
장전역,POINT (129.087232589416 35.240123590798),장전1동
장전역,POINT (129.087253110885 35.239852892879),장전1동
장전초등학교,POINT (129.085382722176 35.240159980949),장전1동
장전초등학교,POINT (129.085520030738 35.239945844605),장전1동
남산119안전센터,POINT (129.086270440795 35.262177684553),구서2동
남산고등학교,POINT (129.08543390369 35.267132990597),남산동
부산외대정문,POINT (129.084419230353 35.266555728168),남산동
부산외국어대학교캠퍼스,POINT (129.080368851956 35.267143609438),남산동
부산외대정문,POINT (129.084619459521 35.266651402841),남산동
남산고등학교,POINT (129.085373678529 35.266926766157),남산동
범어사어귀삼거리,POINT (129.091949274567 35.275715616806),청룡노포동
샘골공원,POINT (129.088797148537 35.26059036296),구서2동
샘골공원,POINT (129.088518438194 35.260861013195),남산동
범어사어귀삼거리,POINT (129.092136743582 35.275527639773),청룡노포동
금사입구,POINT (129.10891141529 35.214315462546),금사회동동
강서구청,POINT (128.9826419768 35.2124006155),대저1동
대저119안전센터,POINT (128.977399016 35.2145815242),대저1동
낙동중학교,POINT (128.9648778788 35.2152059926),대저1동
강서복지회관.우편집중국,POINT (128.958486514056 35.215195585502),대저1동
중리입구,POINT (128.956172112128 35.214817284798),대저1동
부산교도소,POINT (128.9528170927 35.213925719),대저1동
