관리번호,대로별,설치장소,전자운영,설치일자,형태,구군,주소,위도,경도,데이터기준일자
16128,정관로,정관15지점, , ,교차로,기장군,기장군 정관읍 용수리 1363,35.3290825,129.168895,2023-07-25
16129,산단로,정관 16지점, , ,교차로,기장군,기장군 정관면 용수리 1378,35.32488579,129.1666569,2023-07-25
16130,정관로,정관17지점, , ,교차로,기장군,기장군 정관읍 정관로 495,35.32588368,129.1706526,2023-07-25
16131, ,정관 18지점, , ,교차로,기장군,기장군 정관면 용수리 1390,35.32226865,129.1688518,2023-07-25
16132,정관로,정관19지점(정관초교), , ,교차로,기장군,기장군 정관읍 정관로 530,35.32321043,129.1721208,2023-07-25
16133,산단로,정관 20지점, , ,교차로,기장군,기장군 정관면 용수리 1405,35.32023663,129.1729796,2023-07-25
16134,정관로,정관 21지점, , ,교차로,기장군,기장군 정관읍 정관로 560,35.32135187,129.1750853,2023-07-25
16135,정관중앙로,정관 22지점, , ,교차로,기장군,기장군 정관읍 정관산업로 1143,35.31700656,129.1760891,2023-07-25
16136,정관중앙로,정관 23지점, , ,교차로,기장군,기장군 정관읍 정관6로 38,35.31900624,129.1780756,2023-07-25
16137,정관중앙로,정관 24지점, , ,교차로,기장군,기장군 정관읍 정관로 595,35.32073607,129.1790795,2023-07-25
16138,정관로,정관25지점, , ,교차로,기장군,기장군 정관면 매학리 785-1,35.31943537,129.1812052,2023-07-25
16139,정관로,정관26지점, , ,교차로,기장군,기장군 정관면 매학리 784,35.31928572,129.1836004,2023-07-25
16140, ,정관 28지점, , ,교차로,기장군,기장군 정관읍 정관덕산길 43,35.3225478,129.1846048,2023-07-25
16141, ,한성어린이집, , ,교차로,기장군,기장군 정관읍 정관덕산1길 22,35.3235739,129.1847518,2023-07-25
16142,정관로,정관 32지점, , ,교차로,기장군,기장군 정관읍 정관로 696,35.32071722,129.1892741,2023-07-25
16143, ,정관 33지점, , ,교차로,기장군,기장군 정관읍 산단4로 160,35.32136115,129.1916151,2023-07-25
16144,정관로,정관 34지점, , ,교차로,기장군,기장군 정관읍 정관로 718,35.32131282,129.1910315,2023-07-25
16145,정관로,정관 35지점, , ,교차로,기장군,기장군 정관면 달산리 1235-1,35.32234564,129.194148,2023-07-25
16146,정관로,정관 36지점, , ,교차로,기장군,기장군 정관면 달산리 1241,35.32296647,129.1960818,2023-07-25
16147, ,정관신도시(#38), , ,교차로,기장군,기장군 정관면 모전리 705,35.34345445,129.1609727,2023-07-25
16148, ,정관신도시(#39) 모전중학교 앞, , ,교차로,기장군,기장군 정관읍 정관1로 9,35.3381161,129.1621502,2023-07-25
16149, ,정관센트럴휴먼시아 2차, , ,교차로,기장군,기장군 정관읍 구연방곡로 83,35.32483211,129.1887955,2023-07-25
16150, ,정관신도시(#43) 방곡사 옆, , ,교차로,기장군,기장군 정관읍 구연방곡로 120,35.32182119,129.190665,2023-07-25
16151, ,정관해마루 학교, , ,교차로,기장군,기장군 정관읍 모전로 23,35.34080897,129.166116,2023-07-25
16152, ,정관삼환2지점(동일스위트3차 314동 앞), , ,교차로,기장군,기장군 정관읍 모전3길 25,35.33627687,129.1687347,2023-07-25
16153, ,정관현진에버빌104동, , ,교차로,기장군,기장군 정관읍 정관2로 41,35.33431491,129.1665615,2023-07-25
16154,정관로,정관휴먼시아 5단지주출입구, , ,교차로,기장군,기장군 정관읍 정관로 674,35.319282,129.1867346,2023-07-25
16155, ,정관홈플러스(물류입고장), , ,교차로,기장군,기장군 정관읍 정관7로 9-4,35.3220673,129.1765914,2023-07-25
16156, ,정관평전마을(산막입구교차로), , ,단일로,기장군,기장군 정관읍 간막길 1,35.33276457,129.1767796,2023-07-25
16157,정관중앙로,정관교회, , ,교차로,기장군,기장군 정관읍 정관중앙로 158-1,35.33052586,129.1835775,2023-07-25
16158,산단로,교차로 L (정관), , ,교차로,기장군,기장군 정관읍 산단1로 98-5,35.31631681,129.180269,2023-07-25
16159,산단로,교차로 F (정관), , ,교차로,기장군,기장군 정관읍 산단4로 49,35.31646171,129.1848019,2023-07-25
16160,산단로,교차로 G (정관), , ,교차로,기장군,기장군 정관읍 산단4로 113,35.31744527,129.1920194,2023-07-25
16161,산단로,교차로 H (정관), , ,교차로,기장군,기장군 정관면 달산리 1110-1,35.31844811,129.1981597,2023-07-25
16162,산단로,교차로 O (정관), , ,교차로,기장군,기장군 정관읍 산단5로 103-14,35.31903986,129.2002909,2023-07-25
16163,산단로,교차로 P (정관), , ,교차로,기장군,기장군 정관읍 산단7로 99-70,35.32056036,129.2087046,2023-07-25
16164,산단로,교차로 Q (정관), , ,교차로,기장군,기장군 정관읍 산단로 632-12,35.32179997,129.2145189,2023-07-25
16166,정관로,백운공원입구, , ,교차로,기장군,기장군 정관읍 정관로 225,35.34819057,129.1605565,2023-07-25
16167,정관로,백운공원삼거리, , ,교차로,기장군,기장군 정관읍 두명리 98-5,35.35072434,129.1585794,2023-07-25
16168,정관로,두명교차로, , ,교차로,기장군,기장군 정관면 두명리 350-21,35.35506994,129.1480903,2023-07-25
16169,정관로,월평교차로, , ,교차로,기장군,기장군 정관면 월평리 138-15,35.3575074,129.1400819,2023-07-25
16170, ,정관임곡새마을금고, , ,단일로,기장군,기장군 정관면 임곡리 432-1,35.35285996,129.1368369,2023-07-25
16171, ,영천동부산농협(부경교회), , ,교차로,기장군,기장군 철마면 여락송정로 329,35.30508748,129.1126807,2023-07-25
16172, ,임기(양산슈퍼), , ,교차로,기장군,기장군 철마면 송정리 334,35.31233251,129.1148474,2023-07-25
16029, ,해광사입구, , ,교차로,기장군,기장군 기장읍 시랑리 299-3,35.20482601,129.2247758,2023-07-25
16030, ,기장제일은행, , ,교차로,기장군,기장군 기장읍 동부리 261-1,35.2449598,129.2135574,2023-07-25
16031, ,기장신한은행, , ,교차로,기장군,기장군 기장읍 차성로 341,35.2480963,129.2135822,2023-07-25
16032, ,기장초교, , ,단일로,기장군,기장군 기장읍 읍내로 71,35.24534242,129.2122556,2023-07-25
16033, ,기장농협앞, , ,교차로,기장군,기장군 기장읍 차성남로 49,35.24136191,129.2137015,2023-07-25
16034, ,대변덕주빌라입구, , ,교차로,기장군,기장군 기장읍 대변로 14-1,35.23461704,129.2184457,2023-07-25
16035, ,기장유성테크노산업, , ,교차로,기장군,기장군 기장읍 대청로 25,35.23796133,129.2130465,2023-07-25
16036, ,교리초등학교 사거리, , ,교차로,기장군,기장군 기장읍 교리 323-8,35.25426742,129.2156962,2023-07-25
16037,반송로,만화리 영락동산, , ,교차로,기장군,기장군 기장읍 만화리 582,35.25044815,129.1891687,2023-07-25
16038, ,대청중학교, , ,단일로,기장군,기장군 기장읍 차성서로 3,35.23331263,129.2128124,2023-07-25
16039, ,기장 무곡마을, , ,단일로,기장군,기장군 기장읍 청강리 522-2,35.22655967,129.2120856,2023-07-25
16040, ,기장 푸른운수, , ,단일로,기장군,기장군 기장읍 읍내로 28,35.24597904,129.2089908,2023-07-25
16041, ,기장시장, , ,교차로,기장군,기장군 기장읍 차성로287번길 2,35.2432322,129.2132569,2023-07-25
16042, ,기장복지회관, , ,단일로,기장군,기장군 기장읍 청강리 176-5,35.23725484,129.2205506,2023-07-25
16043, ,연화리입구, , ,교차로,기장군,기장군 기장읍 기장해안로 446,35.21451454,129.2222196,2023-07-25
16044, ,서암마을 삼거리, , ,교차로,기장군,기장군 기장읍 기장해안로 426,35.21308535,129.2218248,2023-07-25
16045,반송로,안평삼거리, , ,교차로,기장군,기장군 철마면 구칠리 432-2,35.26805834,129.1672364,2023-07-25
16046,반송로,철마실로암묘지입구, , ,단일로,기장군,기장군 철마면 고촌리 514-1,35.2365762,129.1613464,2023-07-25
