구군명,위도,경도,총합계,데이터기준일자,위치명,구간시점,구간종점,식재거리 km,메타세콰이아,칠엽수,중국단풍,팽나무,튤립나무,단풍나무,벽오동,대왕참나무,감나무,산딸나무,모과나무,왕벚나무,느티나무,버즘나무,양버즘,이팝나무,회화나무,모감주,계수나무,가죽나무,황벽나무,수양버들,복자기,느릅나무,대추나무,후박나무,먼나무,해송,가시나무,구실잣밤나무,개잎갈나무,녹나무,참식,주목,아왜나무,은행나무,가이즈카향나무,기타나무
영도구,35.08771,129.04474,42,2022-12-31,부산광역시 영도구 남항시장길,강남의원,신선공영주차장,300,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,
영도구,35.081933,129.041788,4,2022-12-31,부산광역시 영도구 남항새싹7길,부산보건고,부산보건고,80,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
영도구,35.075081,129.075385,60,2022-12-31,부산광역시 영도구 해양로,해양대 앞 교통섬,해양대 앞 교통섬,200,,,,,,,,,,,,,,,,,,,,,,,,,,58,2,,,,,,,,,,,
영도구,35.082709,129.070293,40,2022-12-31,부산광역시 영도구 동삼북로,일동미라주1단지,동삼주공1단지,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,
영도구,35.089999,129.044769,21,2022-12-31,부산광역시 영도구 꿈나무길,소방서앞사거리,영도초교,200,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,
영도구,35.084884,129.043663,31,2022-12-31,부산광역시 영도구 신선로,영선윗로터리,영도경로당,200,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,
부산광역시 동래구,35.2111747385,129.0756910969,40,2023-12-31,부산광역시 동래구 중앙대로1381번길,우장춘로,충렬대로107번길,0.19, , , , , , , , , , , , , , , ,40, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2092351456,129.0716227308,42,2023-12-31,부산광역시 동래구 우장춘로18번길,우장춘로,충렬대로107번길,0.24, , , , , , , , , , , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2167312904,129.0785443426,9,2023-12-31,부산광역시 동래구 차밭골로,차밭골로21번길,온천장로,0.1, , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , , , , , , , , , 
부산광역시 동래구,35.2056742374,129.1065968457,20,2023-12-31,부산광역시 동래구 명장로 51번길,명장로,명장로63번길,0.18, , , , , , , , , , , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2049272557,129.1096505308,8,2023-12-31,부산광역시 동래구 명장로 67번길,카포스정비,해운대구 경계,0.09, , , , , , , , , , , , , , , ,8, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2152140375,129.0833544011,29,2023-12-31,부산광역시 동래구 명륜동 805-2,온천천로,명륜로,0.16, , , , , , , , , , , , , , , ,29, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2091841071,129.0679835657,95,2023-12-31,부산광역시 동래구 우장춘로9번길,충렬대로75번길,금정마을로,0.45, , , , , , , , , , , , , , , ,95, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.2089728150,129.0692156404,18,2023-12-31,부산광역시 동래구 충렬대로75번길,우창춘로,우장춘로9번길,0.15, , , , , , , , , , , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , 
부산광역시 동래구,35.1945781536,129.0981957139,36,2023-12-31,부산광역시 동래구 안연로,충렬대로 미래병원,연산교,0.3, , , , , , , , , , , , , , , ,13, , , , , , , , , , , , , , , , , , , ,23, , 
영도구,35.088739,129.069015,135,2022-12-31,부산광역시 영도구 태종로,영도대교,소방서앞사거리,800,,,,,,,,,,,,,,,,135,,,,,,,,,,,,,,,,,,,,,,
