관리번호,시도명,시군구명,소재지도로명주소,소재지지번주소,택시전용정차면수,상세위치,데이터기준일자
72,부산광역시,수영구,부산광역시 수영구 광안해변로 386,부산광역시 수영구 민락동 110-8,2,민락롯데캐슬자이언트 앞,2024-12-10
73,부산광역시,서구,부산광역시 서구 구덕로 308,부산광역시 서구 동대신동2가 368-1,2,도시철도 1호선 동대신역 1번 출구 앞,2024-12-10
74,부산광역시,북구,부산광역시 북구 금곡대로 224,부산광역시 북구 화명동 1150,3,팔방공인중개사 사무소 앞,2024-12-10
75,부산광역시,북구,부산광역시 북구 백양대로 1195,부산광역시 북구 구포동 147-7,3,구포새마을금고 구포시장지점 앞,2024-12-10
76,부산광역시,기장군,부산광역시 기장군 철마면 고촌로 58,부산광역시 기장군 철마면 고촌리 668,3,고촌LH3단지아파트 앞,2024-12-10
77,부산광역시,사하구,부산광역시 사하구 낙동대로 141,부산광역시 사하구 괴정동 319-4,1,도시철도 1호선 대티역 1번출구 앞,2024-12-10
78,부산광역시,해운대구,부산광역시 해운대구 반여로 133,부산광역시 해운대구 반여동 1619,2,센텀롯데캐슬1차 앞,2024-12-10
79,부산광역시,해운대구,부산광역시 해운대구 양운로37번길 11,부산광역시 해운대구 좌동 1337,2,해운대 현대아파트 101동 앞,2024-12-10
80,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 351,부산광역시 해운대구 좌동 1452,2,해운대 와우공원 앞,2024-12-10
81,부산광역시,기장군,부산광역시 기장군 일광읍 일광로 101,부산광역시 기장군 일광읍 삼성리 27-4,5,화전약국 앞,2024-12-10
