year,month,value
2021,1,2.5
2021,2,5.9
2021,3,10.7
2021,4,14.4
2021,5,17.5
2021,6,22.0
2021,7,26.7
2021,8,26.3
2021,9,22.6
2021,10,16.9
2021,11,9.5
2021,12,3.6
