관리부서,합계
중구,1732
서구,2848
동구,3649
영도구,3359
부산진구,6960
동래구,4443
남구,4624
북구,4960
해운대구,11159
사하구,6953
금정구,6196
강서구,20454
연제구,4343
수영구 ,3459
사상구,6447
기장군,15372
시설공단_도로시설,2596
시설공단_교량관리,1403
민자_산성,73
민자_천마,73
민자_을숙도대교,413
민자_부산항대교,303
