시군구명,Count
강서구,1713
금정구,2011
기장군,2026
남구,2073
동구,971
동래구,2140
부산진구,3685
북구,1857
사상구,1782
사하구,2605
서구,950
수영구,1842
연제구,1518
영도구,1028
중구,1189
해운대구,3654
