시군구명,Count
강서구,156
금정구,338
기장군,207
남구,390
동구,252
동래구,424
부산진구,799
북구,316
사상구,307
사하구,435
서구,119
수영구,411
연제구,279
영도구,202
중구,296
해운대구,491
