"연령별(1)",연령별(2),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"연령별(1)",연령별(2),사상구,사상구,사상구,삼락동,삼락동,삼락동,모라1동,모라1동,모라1동,모라3동,모라3동,모라3동,덕포1동,덕포1동,덕포1동,덕포2동,덕포2동,덕포2동,괘법동,괘법동,괘법동,감전동,감전동,감전동,주례1동,주례1동,주례1동,주례2동,주례2동,주례2동,주례3동,주례3동,주례3동,학장동,학장동,학장동,엄궁동,엄궁동,엄궁동
"연령별(1)",연령별(2),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명)
"15세∼19세",19세,1663,843,820,37,19,18,184,105,79,46,24,22,69,43,26,80,39,41,134,67,67,83,41,42,141,72,69,275,112,163,120,61,59,231,123,108,263,137,126
"20세∼24세",소계,11598,6102,5496,229,133,96,1331,699,632,325,194,131,418,225,193,642,337,305,1756,821,935,561,303,258,847,459,388,1935,953,982,733,390,343,1399,773,626,1422,815,607
"20세∼24세",20세,1735,904,831,35,16,19,209,113,96,44,27,17,80,48,32,116,58,58,209,97,112,89,52,37,123,70,53,259,102,157,127,66,61,221,122,99,223,133,90
"20세∼24세",21세,2090,1081,1009,35,19,16,258,117,141,61,41,20,90,37,53,132,78,54,277,116,161,105,59,46,166,98,68,305,139,166,113,64,49,286,155,131,262,158,104
"20세∼24세",22세,2544,1343,1201,61,37,24,266,135,131,84,55,29,90,48,42,125,63,62,408,193,215,113,65,48,176,90,86,462,234,228,152,84,68,297,154,143,310,185,125
"20세∼24세",23세,2599,1386,1213,43,30,13,290,163,127,66,39,27,85,51,34,130,64,66,413,202,211,116,57,59,181,98,83,487,256,231,169,86,83,307,177,130,312,163,149
"20세∼24세",24세,2630,1388,1242,55,31,24,308,171,137,70,32,38,73,41,32,139,74,65,449,213,236,138,70,68,201,103,98,422,222,200,172,90,82,288,165,123,315,176,139
"25세∼29세",소계,14428,7734,6694,291,158,133,1819,974,845,327,193,134,493,304,189,842,446,396,2888,1391,1497,832,478,354,1111,596,515,1872,1040,832,885,460,425,1543,851,692,1525,843,682
"25세∼29세",25세,2773,1443,1330,59,32,27,303,156,147,56,31,25,95,54,41,135,68,67,567,266,301,154,85,69,215,129,86,419,219,200,159,86,73,298,143,155,313,174,139
"25세∼29세",26세,2760,1450,1310,58,30,28,352,179,173,67,36,31,98,58,40,181,99,82,530,250,280,149,83,66,201,99,102,338,188,150,182,85,97,307,178,129,297,165,132
