year,month,value
2022,1,3.5
2022,2,2.5
2022,3,118.5
2022,4,113.0
2022,5,14.0
2022,6,176.0
2022,7,137.0
2022,8,135.5
2022,9,243.5
2022,10,17.5
2022,11,51.5
2022,12,16.5
