year,month,value
2022,1,1.8
2022,2,2.7
2022,3,9.4
2022,4,13.9
2022,5,18.8
2022,6,21.2
2022,7,26.8
2022,8,26.5
2022,9,22.5
2022,10,15.9
2022,11,11.8
2022,12,1.4
