year,month,value
2021,1,2.9
2021,2,6.9
2021,3,10.8
2021,4,14.3
2021,5,17.6
2021,6,21.7
2021,7,26.3
2021,8,25.8
2021,9,22.2
2021,10,17.3
2021,11,10.9
2021,12,5.1
