year,month,value
2022,1,2.3
2022,2,2.6
2022,3,9.7
2022,4,14.5
2022,5,19.3
2022,6,21.3
2022,7,26.6
2022,8,26.3
2022,9,22.4
2022,10,16.3
2022,11,12.8
2022,12,1.7
