읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교통사고 건수,예측 음주운전 적발 건수
용호4동,2546,7658,9,52,12,0.98,0.5503938
우1동,14319,23357,27,392,35,6.72,3.9527283
우2동,15590,29548,76,298,46,9.18,5.6424575
우3동,11039,27989,45,157,52,2.69,2.8424454
우암동,4847,11945,12,54,11,4.72,2.2893393
일광읍,15386,29989,21,380,143,6.9,6.7110105
장림1동,6570,12249,24,170,53,2.72,1.7833921
장림2동,10216,25288,22,183,79,6.94,4.799424
장안읍,10377,8611,48,211,123,2.3,1.8154291
장전1동,5117,17764,10,255,19,2.56,1.9408845
장전2동,9679,25793,35,471,61,3.79,3.51011
재송1동,17536,36388,46,285,66,11.34,7.17847
재송2동,9005,22026,12,177,31,7.41,3.8893018
전포1동,7804,20368,24,498,64,6.4,4.1272364
전포2동,7703,23251,20,258,45,6.13,3.8304114
정관읍,37401,78650,162,717,194,21.91,18.027012
좌1동,6604,17070,50,351,35,5.43,3.2081776
좌2동,11295,30219,30,217,33,9.61,5.350822
좌3동,5784,14965,21,57,18,4.84,2.437941
좌4동,8838,21883,20,73,26,6.94,3.4903502
좌천동,3552,11057,5,41,21,0.54,0.65011847
주례1동,7215,16377,13,90,45,5.08,2.8051252
주례2동,7366,21345,5,220,60,7.73,4.4602523
주례3동,4437,11883,7,124,35,4.41,2.3049405
중1동,11588,27066,43,511,36,8.32,4.9893246
중2동,6714,15129,4,146,44,4.78,2.7474036
중앙동,34933,3082,9,332,22,0.36,0.63208294
철마면,3773,7414,13,80,91,2.12,1.2080348
청룡노포동,4346,9199,16,97,39,1.38,0.82984304
청학1동,2589,5295,8,24,20,0.58,0.445535
청학2동,5582,16171,19,102,62,1.67,1.6496834
초량1동,18206,4820,2,100,0,0.25,0.44596043
초량2동,8736,5111,2,184,14,0.29,0.44711074
초량3동,5312,12528,14,210,26,0.66,0.9206314
초량6동,2711,5201,2,23,14,0.3,0.41956264
초읍동,7799,21729,17,206,55,6.51,3.972026
초장동,745,3713,1,7,8,0.49,0.37308225
충무동,2740,9512,15,182,15,1.13,0.8032956
하단1동,8012,20907,25,206,17,5.47,3.0280612
하단2동,8452,24861,21,445,41,6.44,4.108038
학장동,12076,26053,34,194,63,9.48,5.4461665
화명1동,18430,39190,11,109,32,12.93,7.0102396
화명2동,6663,16808,11,115,50,5.32,3.0347083
화명3동,11681,28085,60,321,22,9.25,5.0734344
