year,month,value
2023,1,94.5
2023,2,41.5
2023,3,76.5
2023,4,131.5
2023,5,327.0
2023,6,125.0
2023,7,559.0
2023,8,308.5
2023,9,243.5
2023,10,5.5
2023,11,30.0
2023,12,120.0
