행정동명,Count
가덕도동,68
가락동,37
가야1동,159
가야2동,158
감만1동,42
감만2동,33
감전동,247
감천1동,150
감천2동,43
강동동,61
개금1동,268
개금2동,45
개금3동,111
거제1동,203
거제2동,88
거제3동,163
거제4동,15
광복동,121
광안1동,256
광안2동,295
광안3동,202
광안4동,92
괘법동,480
괴정1동,174
괴정2동,60
괴정3동,137
괴정4동,91
구서1동,243
구서2동,188
구평동,58
구포1동,282
구포2동,145
구포3동,123
금곡동,142
금사회동동,124
금성동,87
기장읍,865
남부민1동,32
남부민2동,38
남산동,314
남천1동,330
남천2동,96
남포동,259
남항동,289
녹산동,531
다대1동,361
다대2동,172
당감1동,209
당감2동,44
당감4동,123
당리동,263
대연1동,236
대연3동,577
대연4동,87
대연5동,176
대연6동,65
대저1동,122
대저2동,158
대청동,65
덕천1동,149
덕천2동,325
덕천3동,48
덕포1동,138
덕포2동,124
동광동,60
동대신1동,51
동대신2동,69
동대신3동,99
동삼1동,242
동삼2동,77
동삼3동,27
만덕1동,69
만덕2동,158
만덕3동,98
망미1동,166
망미2동,83
명륜동,372
명장1동,129
명장2동,57
명지1동,714
명지2동,254
모라1동,303
모라3동,20
문현1동,69
문현2동,110
문현3동,104
문현4동,84
민락동,544
반송1동,161
반송2동,144
반여1동,252
반여2동,106
반여3동,65
반여4동,23
범일1동,78
범일2동,274
범일5동,19
범천1동,223
범천2동,75
보수동,84
복산동,94
봉래1동,103
봉래2동,13
부곡1동,75
부곡2동,91
부곡3동,167
부곡4동,90
부민동,109
부암1동,101
부암3동,102
부전1동,509
부전2동,695
부평동,363
사직1동,177
사직2동,208
사직3동,168
삼락동,99
서1동,26
서2동,72
서3동,175
서대신1동,115
서대신3동,51
서대신4동,70
선두구동,58
송정동,196
수민동,234
수영동,242
수정1동,35
수정2동,210
수정4동,17
수정5동,9
신선동,21
신평1동,160
신평2동,126
아미동,45
안락1동,239
안락2동,279
암남동,192
양정1동,228
양정2동,143
엄궁동,146
연산1동,204
연산2동,167
연산3동,40
연산4동,305
연산5동,391
연산6동,110
연산8동,120
연산9동,262
연지동,99
영선1동,92
영선2동,48
영주1동,43
영주2동,16
온천1동,328
온천2동,212
온천3동,235
용당동,65
용호1동,286
용호2동,124
용호3동,106
용호4동,52
우1동,392
우2동,298
우3동,157
우암동,54
일광읍,380
장림1동,170
장림2동,183
장안읍,211
장전1동,255
장전2동,471
재송1동,285
재송2동,177
전포1동,498
전포2동,258
정관읍,717
좌1동,351
좌2동,217
좌3동,57
좌4동,73
좌천동,41
주례1동,90
주례2동,220
주례3동,124
중1동,511
중2동,146
중앙동,332
철마면,80
청룡노포동,97
청학1동,24
청학2동,102
초량1동,100
초량2동,184
초량3동,210
초량6동,23
초읍동,206
초장동,7
충무동,182
하단1동,206
하단2동,445
학장동,194
화명1동,109
화명2동,115
화명3동,321
