year,month,value
2023,1,3.4
2023,2,6.0
2023,3,11.6
2023,4,14.3
2023,5,17.9
2023,6,22.5
2023,7,25.7
2023,8,27.0
2023,9,23.3
2023,10,16.6
2023,11,10.8
2023,12,5.6
