구군명,위반일자,위반장소명
강서구,2023-01-05 12:50,송정동 1600
강서구,2023-01-05 14:11,꿈바위 어린이집인근
강서구,2023-01-05 14:12,글로벌새싹어린이집 인근
강서구,2023-01-05 14:20,부산지법 서부지원
강서구,2023-01-05 14:29,남명초등학교인근
강서구,2023-01-05 14:35,글로벌새싹어린이집 인근
강서구,2023-01-05 14:40,글로벌새싹어린이집 인근
강서구,2023-01-05 14:48,명지동 3420-6
강서구,2023-01-05 14:51,송정초등학교 교차로
강서구,2023-01-05 15:02,꿈바위 어린이집인근
강서구,2023-01-05 15:03,송정동 1624
강서구,2023-01-05 15:04,노블랜드오션뷰101동주변
강서구,2023-01-05 15:05,명지동 3334-5
강서구,2023-01-05 15:10,중흥S클래스프라디움
강서구,2023-01-05 15:21,삼정그린코아더시티주변
강서구,2023-01-05 15:23,대방노블랜드2차인근
강서구,2023-01-05 15:38,노블랜드오션뷰104동주변
강서구,2023-01-05 15:42,에일린의 뜰 104동 주변
강서구,2023-01-05 16:01,국내선2층
강서구,2023-01-05 16:04,국내선1층
강서구,2023-01-05 16:09,마음마을 주변
강서구,2023-01-05 16:12,국제화물청사앞
강서구,2023-01-05 16:18,꿈바위 어린이집인근
강서구,2023-01-05 16:27,글로벌새싹어린이집 인근
강서구,2023-01-05 16:46,한솔학교사거리인근
강서구,2023-01-05 16:57,봉림동 12-6
강서구,2023-01-05 16:58,에일린의 뜰 104동 주변
강서구,2023-01-05 17:08,중흥S클래스프라디움
강서구,2023-01-05 17:29,글로벌새싹어린이집 인근
강서구,2023-01-05 18:09,글로벌새싹어린이집 인근
강서구,2023-01-05 18:22,에일린의 뜰 104동 주변
강서구,2023-01-05 18:26,삼정그린코아더시티주변
강서구,2023-01-05 18:37,녹산초등학교인근
강서구,2023-01-05 19:07,명지동 3288
강서구,2023-01-05 19:14,송정동 24번 교차로인근
강서구,2023-01-05 19:14,송정동 24번 교차로인근
강서구,2023-01-05 19:33,송정동 24번 교차로인근
강서구,2023-01-05 20:18,국제화물청사앞
강서구,2023-01-05 20:23,명지동 3291
강서구,2023-01-05 20:26,명지동 3452
강서구,2023-01-05 21:55,에일린의 뜰 104동 주변
강서구,2023-01-05 22:03,대저2동 3130
강서구,2023-01-05 22:15,명지스타필드 주변
강서구,2023-01-05 22:19,송정동 24번 교차로인근
강서구,2023-01-06 07:42,금강펜테리움 2차 교차로
강서구,2023-01-06 08:09,중흥S클래스프라디움
강서구,2023-01-06 08:10,국내선2층
강서구,2023-01-06 08:10,에일린의 뜰 104동 주변
