일련번호,단속일자,단속장소주소
526,2023-01-02,연지삼거리주변
527,2023-01-02,동천로 경맥경찰학원
528,2023-01-02,범천동 e편한세상 주변
529,2023-01-02,네오스포 주변
530,2023-01-02,범천동 e편한세상 주변
531,2023-01-02,부전동 부전역주변
532,2023-01-02,범천동 e편한세상 주변
533,2023-01-02,범천동e편한세상 보조
534,2023-01-02,젊음의거리 CGV 주변
535,2023-01-02,풍림아이원아파트 주변
536,2023-01-02,부전동 춘하추동주변
537,2023-01-02,전포동 전포초등학교정문
538,2023-01-02,대도예식장
539,2023-01-02,범천동 삼성생명(돔)
540,2023-01-02,전포동 전포초등학교정문
541,2023-01-02,전포동 보아마트 앞
542,2023-01-02,전포동 태영아너스 주변
543,2023-01-02,한일유엔아이아파트 주변
544,2023-01-02,거제대로 대원칸타빌주변
545,2023-01-02,부전동삼정타워주변
546,2023-01-02,서면 동문굿모닝힐
547,2023-01-02,전포동 경무빌딩 주변
548,2023-01-02,범천동e편한세상 보조
549,2023-01-02,국제백양아파트주변
550,2023-01-02,범천동 e편한세상 주변
551,2023-01-02,네오스포 주변
552,2023-01-02,전포동 전포초등학교정문
553,2023-01-02,전포동 보아마트 앞
554,2023-01-02,부전동 마당집
555,2023-01-02,범천동e편한세상 보조
556,2023-01-02,네오스포 주변
557,2023-01-02,전포동 전포초등학교정문
558,2023-01-02,부전동 영광도서주차장
559,2023-01-02,개금초등학교
560,2023-01-02,범천동e편한세상 보조
561,2023-01-02,성서초등학교
562,2023-01-02,전포동 태영아너스 주변
563,2023-01-02,범천동 e편한세상 주변
564,2023-01-02,동성초등학교
565,2023-01-02,거제대로 대원칸타빌주변
566,2023-01-02,골드테마거리 주변
567,2023-01-02,전포동 보아마트 앞
568,2023-01-02,부전동 부전역주변
569,2023-01-02,네오스포 주변
570,2023-01-02,전포동 전포초등학교정문
571,2023-01-02,서면 포토피아슈퍼 주변
572,2023-01-02,동성초등학교
573,2023-01-02,전포동 태영아너스 주변
574,2023-01-02,전포동 태영아너스 주변
575,2023-01-02,가평초등학교 주변
576,2023-01-02,범천동e편한세상 보조
577,2023-01-02,서면아이파크
578,2023-01-02,아시아나타운
579,2023-01-02,부전마켓타운 공영주차장
580,2023-01-02,부전동 부전역주변
581,2023-01-02,부전동 부전역주변
582,2023-01-02,네오스포 주변
583,2023-01-02,개금초등학교
584,2023-01-02,아시아나타운
585,2023-01-02,전포동 전포초등학교정문
586,2023-01-02,전포동 태영아너스 주변
587,2023-01-02,골드테마거리 주변
588,2023-01-02,부전동 교보생명 주변
589,2023-01-02,범천동 e편한세상 주변
590,2023-01-02,서면중앙시장주변
591,2023-01-02,풍림아이원아파트 주변
592,2023-01-02,부전동 영광도서주차장
593,2023-01-02,전포동 태영아너스 주변
594,2023-01-02,전포동 태영아너스 주변
595,2023-01-02,부전동 부전역주변
596,2023-01-02,개금동 늘푸른유치원 주
597,2023-01-02,전포동 전포초등학교정문
598,2023-01-02,범천동 e편한세상 주변
599,2023-01-02,부전동 부산진경찰서
600,2023-01-02,범천동 e편한세상 주변
601,2023-01-02,부전동 영광도서주차장
602,2023-01-02,개금현대아이아파트 주변
603,2023-01-02,부전동 부산진경찰서
604,2023-01-02,전포동 전포초등학교정문
605,2023-01-02,범천동e편한세상 보조
606,2023-01-02,범천동e편한세상 보조
607,2023-01-02,전포동 태영아너스 주변
608,2023-01-02,부전동삼정타워주변
609,2023-01-02,네오스포 주변
610,2023-01-02,범천동e편한세상 보조
611,2023-01-02,네오스포 주변
612,2023-01-02,범천동CBS방송국
613,2023-01-02,아시아나타운
614,2023-01-02,전포동 전포초등학교정문
615,2023-01-02,범천동e편한세상 보조
616,2023-01-02,범천동e편한세상 보조
617,2023-01-02,양정 대원칸타빌
618,2023-01-02,문화의거리 입구
619,2023-01-02,네오스포 주변
620,2023-01-02,개금동 늘푸른유치원 주
621,2023-01-02,전포동 태영아너스 주변
622,2023-01-02,CU양정산호점 주변
623,2023-01-02,CU양정산호점 주변
624,2023-01-02,부전동 부전역주변
625,2023-01-02,CU양정산호점 주변
626,2023-01-02,전포롯데캐슬아파트부근
627,2023-01-02,네오스포 주변
628,2023-01-02,부전동 영광도서주차장
629,2023-01-02,전포동 태영아너스 주변
630,2023-01-02,전포동 태영아너스 주변
631,2023-01-02,전포동 경무빌딩 주변
632,2023-01-02,범천동 e편한세상 주변
633,2023-01-02,전포동 경무빌딩 주변
634,2023-01-02,이마트서면점주변
635,2023-01-02,전포동 태영아너스 주변
636,2023-01-02,CU양정산호점 주변
637,2023-01-02,전포동 경무빌딩 주변
638,2023-01-02,아이온시티빌딩 주변
639,2023-01-02,부전동삼정타워주변
640,2023-01-02,풍림아이원아파트 주변
641,2023-01-02,서면중앙시장주변
642,2023-01-02,양정 대원칸타빌
643,2023-01-02,CU양정산호점 주변
644,2023-01-02,전포사거리 부산은행
645,2023-01-02,전포동 태영아너스 주변
646,2023-01-02,범천동 e편한세상 주변
647,2023-01-02,동평사거리
648,2023-01-02,전포롯데캐슬아파트부근
649,2023-01-02,범천동e편한세상 보조
650,2023-01-02,초읍동 어린이대공원
651,2023-01-02,부전동삼정타워주변
652,2023-01-02,범천동e편한세상 보조
653,2023-01-02,범천동 삼성생명앞
654,2023-01-02,범천동e편한세상 보조
655,2023-01-02,금강펜테리움아파트주변
656,2023-01-02,CU양정산호점 주변
657,2023-01-02,전포동 전포초등학교정문
658,2023-01-02,서면중앙시장주변
659,2023-01-02,서면 한신아파트주변
660,2023-01-02,네오스포 주변
661,2023-01-02,전포동 전포초등학교정문
662,2023-01-02,전포동 보아마트 앞
663,2023-01-02,아이온시티빌딩 주변
664,2023-01-02,부전동 마당집
665,2023-01-02,범천동e편한세상 보조
666,2023-01-02,범천동e편한세상 보조
667,2023-01-02,전포동 태영아너스 주변
668,2023-01-02,서면중앙시장주변
669,2023-01-02,범천동e편한세상 보조
670,2023-01-02,전포동 태영아너스 주변
671,2023-01-02,쥬디스태화 뒷편
672,2023-01-02,동천로 경맥경찰학원
673,2023-01-02,범천동 범일로154번길
674,2023-01-02,범천동 범일로131번길
675,2023-01-02,범천동 범일로131번길
676,2023-01-02,범천동 범일로131번길
677,2023-01-02,범천동 중앙대로
678,2023-01-02,범천동 황령대로7번길
679,2023-01-02,범천동 황령대로7번길
680,2023-01-02,범천동 황령대로7번길
681,2023-01-02,범천동 황령대로17번길
682,2023-01-02,범천동 황령대로7번길
683,2023-01-02,범천동 중앙대로635번길
684,2023-01-02,범천동 중앙대로
685,2023-01-02,범천동 중앙대로
686,2023-01-02,부전동 중앙대로691번길
687,2023-01-02,부전동 서면로
688,2023-01-02,부전동 서면로
689,2023-01-02,부전동 서면로
690,2023-01-02,부전동 서면로
691,2023-01-02,부전동 서면로
692,2023-01-02,부전동 서면로
693,2023-01-02,부전동 서면로
694,2023-01-02,부전동 서면로
695,2023-01-02,부전동 서면문화로5번길
696,2023-01-02,부전동 부전로96번길
697,2023-01-02,부전동 가야대로765번길
698,2023-01-02,개금동 엄광로44번길
699,2023-01-02,개금동 엄광로44번길
700,2023-01-02,개금동 엄광로62번길
701,2023-01-02,개금동 엄광로62번길
702,2023-01-02,개금동 엄광로62번길
703,2023-01-02,개금동 복지로85번길
704,2023-01-02,가야동 가야대로572번길
705,2023-01-02,가야동 가야대로588번길
706,2023-01-02,가야동 가야대로588번길
707,2023-01-02,가야동 가야대로588번길
708,2023-01-02,부전동 중앙대로691번길
709,2023-01-02,부전동 중앙대로691번길
710,2023-01-02,부전동 중앙대로691번길
711,2023-01-02,부전동 부전로20번길
712,2023-01-02,부전동 부전로20번길
713,2023-01-02,부전동 부전로20번길
714,2023-01-02,부전동 서면로
715,2023-01-02,범천동 황령대로7번길
716,2023-01-02,범천동 황령대로7번길
717,2023-01-02,범천동 황령대로7번길
718,2023-01-02,범천동 중앙대로
719,2023-01-02,전포동 서전로38번길
720,2023-01-02,전포동 서전로38번길
721,2023-01-02,전포동 서전로38번길
722,2023-01-02,전포동 서전로38번길
723,2023-01-02,전포동 서전로38번길
724,2023-01-02,전포동 서전로38번길
725,2023-01-02,전포동 서전로38번길
726,2023-01-02,전포동 서전로38번길
727,2023-01-02,전포동 전포대로189번길
728,2023-01-02,부전동 중앙대로
729,2023-01-02,부전동 중앙대로
730,2023-01-02,부전동 중앙대로
731,2023-01-02,부전동 중앙대로
732,2023-01-02,부전동 중앙대로
733,2023-01-02,부전동 서전로9번길
734,2023-01-02,부전동 서전로9번길
735,2023-01-02,양정동 중앙대로979번길
736,2023-01-02,양정동 중앙대로979번길
737,2023-01-02,양정동 진연로
738,2023-01-02,양정동 진연로
739,2023-01-02,양정동 진연로
740,2023-01-02,전포동 서전로38번길
741,2023-01-02,양정동 연수로11번길
742,2023-01-02,양정동 연수로11번길
743,2023-01-02,양정동 연수로11번길
744,2023-01-02,양정동 연수로11번길
745,2023-01-02,양정동 연수로11번길
746,2023-01-02,양정동 연수로11번길
747,2023-01-02,양정동 연수로11번길
748,2023-01-02,양정동 연수로11번길
749,2023-01-02,전포동 동천로
750,2023-01-02,전포동 892-19
751,2023-01-02,전포동 신천대로
752,2023-01-02,전포동 신천대로
753,2023-01-02,전포동 신천대로
754,2023-01-02,부암동 당감로
755,2023-01-02,부암동 당감로
756,2023-01-02,연지동 동평로223번길
757,2023-01-02,연지동 동평로225번길
758,2023-01-02,연지동 동평로223번길
759,2023-01-02,연지동 동평로223번길
760,2023-01-02,부암동 시민공원로19번길
761,2023-01-02,부암동 시민공원로19번길
762,2023-01-02,부암동 새싹로
763,2023-01-02,부암동 새싹로
764,2023-01-02,부암동 백양순환로
765,2023-01-02,부암동 백양순환로
766,2023-01-02,부암동 백양순환로
767,2023-01-02,부암동 백양순환로
768,2023-01-02,부암동 백양순환로164길
769,2023-01-02,부암동 백양순환로164길
770,2023-01-02,부암동 백양순환로164길
771,2023-01-02,부암동 백양순환로164길
772,2023-01-02,부암동 백양순환로164길
773,2023-01-02,부암동 백양순환로164길
774,2023-01-02,당감동 당감로60번길
775,2023-01-02,당감동 당감로60번길
776,2023-01-02,당감동 동평로
777,2023-01-02,부암동 백양대로46번길
778,2023-01-02,부암동 백양대로46번길
779,2023-01-02,부암동 백양대로46번길
780,2023-01-02,가야동 가야대로588번길
781,2023-01-02,가야동 가야대로588번길
782,2023-01-02,가야동 가야대로588번길
783,2023-01-02,가야동 가야대로572번길
784,2023-01-02,개금동 복지로
785,2023-01-02,개금동 복지로
786,2023-01-02,개금동 복지로
787,2023-01-02,개금동 복지로
788,2023-01-02,개금동 엄광로62번길
789,2023-01-02,개금동 엄광로62번길
790,2023-01-02,개금동 엄광로62번길
791,2023-01-02,개금동 엄광로62번길
792,2023-01-02,개금동 복지로85번길
793,2023-01-02,범천동 943-1 부근
794,2023-01-02,개금동 760 부근
795,2023-01-02,가야동 631-11 부근
796,2023-01-02,개금동 503-16 부근
797,2023-01-02,가야동 678-47 부근
798,2023-01-02,개금동 163-2 부근
799,2023-01-02,개금동 163-2 부근
800,2023-01-02,부암동 127-1 부근
801,2023-01-02,부전동 573-1 부근
802,2023-01-02,개금동 177-12 부근
803,2023-01-02,양정동 322 부근
804,2023-01-02,가야동 49-8 부근
805,2023-01-02,범천동 948-4 부근
806,2023-01-02,전포동 877 부근
807,2023-01-02,개금동 543-2 부근
808,2023-01-02,개금동 185-14 부근
809,2023-01-02,범천동 944-1 부근
810,2023-01-02,범전동 329-1 부근
811,2023-01-02,부암동 500-1 부근
812,2023-01-02,부전동 575 부근
813,2023-01-02,부전동 573-1 부근
814,2023-01-02,부전동 573-1 부근
815,2023-01-02,부전동 168-174 부근
816,2023-01-02,부전동 168-182 부근
817,2023-01-02,부전동 198-6 부근
818,2023-01-02,부전동 573-1 부근
819,2023-01-02,전포동 892-19 부근
820,2023-01-02,개금동 540-233 부근
821,2023-01-02,부암동 333-15 부근
822,2023-01-02,부전동 576-1 부근
823,2023-01-02,부전동 576-1 부근
824,2023-01-02,개금동 635 부근
825,2023-01-02,개금동 204-4 부근
826,2023-01-02,개금동 635 부근
827,2023-01-02,당감동 742-1 부근
828,2023-01-02,부암동 723 부근
829,2023-01-02,양정동 408 부근
830,2023-01-02,부전동 576-1 부근
831,2023-01-02,범천동 산 44-183 부근
832,2023-01-02,부전동 576-1 부근
833,2023-01-02,부전동 576-1 부근
834,2023-01-02,부전동 576-1 부근
835,2023-01-02,개금동 543-2 부근
836,2023-01-02,개금동 543-2 부근
837,2023-01-02,개금동 163-2 부근
838,2023-01-02,부전동 168-448 부근
839,2023-01-02,범천동 983-2 부근
840,2023-01-02,가야동 261-2 부근
841,2023-01-02,양정동 250-1 부근
842,2023-01-02,부전동 521-6 부근
843,2023-01-02,부전동 573-1 부근
844,2023-01-02,당감동 818-269 부근
845,2023-01-02,당감동 818-269 부근
846,2023-01-02,부전동 573-1 부근
847,2023-01-02,양정동 406-4 부근
848,2023-01-02,부전동 168-173 부근
849,2023-01-03,젊음의거리 CGV 주변
850,2023-01-03,서면일번가 사거리
