위반일자,위반일시,위반장소명
2024-01-11 10:40,봉래동3가 절영로13번길,
2024-01-11 14:36,영선동1가 영봉길,
2024-01-11 14:36,영선동1가 영봉길,
2024-01-11 14:36,영선동1가 영봉길,
2024-01-11 14:42,영선동2가 한사랑길,
2024-01-11 14:47,남항동2가 절영로93번길,
2024-01-11 14:50,남항동2가 절영로,
2024-01-11 17:06,청학동 해양로,
2024-01-11 17:06,청학동 해양로,
2024-01-11 13:44,영선동3가 189 교차로모퉁이,
2024-01-11 18:00,동삼동 201-6 인도,
2024-01-11 18:48,동삼동 1184 인도,
2024-01-11 18:29,청학동 68-240 교차로모퉁이,
2024-01-11 18:36,남항동1가 232-24 교차로모퉁이,
2024-01-11 18:27,청학동 68-240 교차로모퉁이,
2024-01-12 14:37,동삼동 265 인도,
2024-01-12 10:37,동삼동 태종로,
2024-01-12 10:39,동삼동 동삼북로,
2024-01-12 10:39,동삼동 동삼북로,
2024-01-12 10:39,동삼동 웃서발로4번길,
2024-01-12 10:39,동삼동 웃서발로,
2024-01-12 10:40,동삼동 웃서발로,
2024-01-12 10:40,동삼동 웃서발로,
2024-01-12 10:41,동삼동 웃서발로,
2024-01-12 10:41,동삼동 웃서발로51번길,
2024-01-12 10:41,동삼동 동삼서로,
2024-01-12 10:42,동삼동 동삼서로,
2024-01-12 10:42,동삼동 동삼서로,
2024-01-12 10:42,동삼동 동삼서로,
2024-01-12 10:42,동삼동 동삼로93번길,
2024-01-12 10:43,동삼동 동삼로93번길,
2024-01-12 10:43,동삼동 동삼로93번길,
2024-01-12 15:04,봉래동1가 대교로40번길,
2024-01-12 15:04,봉래동1가 대교로46번길,
2024-01-12 15:05,봉래동2가 대교로32번길,
2024-01-12 15:05,봉래동2가 대교로30번길,
2024-01-12 15:09,봉래동2가 봉래나루로,
2024-01-12 15:09,봉래동2가 대교로46번길,
2024-01-12 15:10,봉래동1가 대교로46번길,
2024-01-12 15:11,봉래동1가 봉래나루로,
2024-01-12 15:13,봉래동3가 절영로7번길,
2024-01-12 15:13,봉래동3가 절영로7번길,
2024-01-12 15:15,봉래동3가 절영로13번길,
2024-01-12 15:15,대교동2가 태종로99번길,
2024-01-12 15:20,대교동1가 절영로,
2024-01-12 15:20,대교동1가 남항로9번길,
2024-01-12 15:20,대교동1가 남항로9번길,
2024-01-12 15:22,남항동1가 남항로9번길,
2024-01-12 15:23,남항동2가 남항로10번길,
2024-01-12 15:23,남항동2가 남항남로9번길,
2024-01-12 15:24,남항동2가 남항남로9번길,
2024-01-12 15:24,남항동3가 남항남로9번길,
2024-01-12 15:24,남항동3가 남항남로9번길,
2024-01-12 15:24,남항동3가 남항서로,
2024-01-12 15:25,남항동3가 남항남로9번길,
2024-01-12 15:12,동삼동 태종로,
2024-01-12 08:38,영선아파트주변-3,
2024-01-12 09:43,민재약국앞-1,
2024-01-12 10:55,민재약국앞-1,
2024-01-12 11:09,대동대교맨션 주변-4,
2024-01-12 12:38,청동초등학교1-1,
2024-01-12 14:13,해안관광도로 감지 입구,
2024-01-12 14:14,대동대교맨션 주변-2,
2024-01-12 14:23,2송도삼거리 주변-2,
2024-01-12 14:25,2송도삼거리 주변-2,
2024-01-12 14:40,부산은행 청학동주변-3,
2024-01-12 15:16,태종대회전교차로주변-3,
2024-01-12 15:23,영선아파트주변-2,
2024-01-12 15:39,2 영도 메디컬빌딩 부근,
2024-01-12 16:01,봉래 에일린의뜰아파트 1,
2024-01-12 16:14,대동대교맨션 주변-2,
2024-01-12 16:28,동삼동농협 주변 보조카,
2024-01-12 16:39,3 농협영도지점주변,
2024-01-12 17:04,3 농협영도지점주변,
2024-01-12 18:27,홈플러스영도점주변-2,
2024-01-12 19:10,대동대교맨션 주변-2,
2024-01-12 19:16,홈플러스영도점주변-2,
