연도,단속건수,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2022,61840,4006,4434,5085,5487,6200,5261,5706,5410,4047,5423,5497,5284
2021,64489,5356,5120,6894,6170,5795,5584,5641,5139,4221,4940,4922,4707
