부서명,단속일시,단속장소주소
교통행정과,2023-01-04 07:28:00,젊음의광장사거리
교통행정과,2023-01-04 08:33:00,농협 남산지점 보강
교통행정과,2023-01-04 09:13:00,종합버스터미널
교통행정과,2023-01-04 09:19:00,구서동 이마트
교통행정과,2023-01-04 09:20:00,서동 세웅병원 보강
교통행정과,2023-01-04 09:22:00,종합버스터미널
교통행정과,2023-01-04 09:30:00,서동 세웅병원 보강
교통행정과,2023-01-04 09:40:00,남산동 남산역 1번출구
교통행정과,2023-01-04 09:44:00,농협 남산지점 보강
교통행정과,2023-01-04 09:55:00,부산대 정문앞
교통행정과,2023-01-04 10:04:00,서동 세웅병원 보강
교통행정과,2023-01-04 10:11:00,남산동 남산역 1번출구
교통행정과,2023-01-04 10:22:00,부산외국어대학교앞
교통행정과,2023-01-04 10:25:00,부산대 정문앞
교통행정과,2023-01-04 10:29:00,서동 세웅병원 보강
교통행정과,2023-01-04 10:29:00,남산동GS슈퍼마켓앞
교통행정과,2023-01-04 10:36:00,장전동어린이놀이터앞
교통행정과,2023-01-04 10:40:00,농협 남산지점 보강
교통행정과,2023-01-04 10:41:00,식물원입구 사거리
교통행정과,2023-01-04 11:14:00,범어사역사각지대
교통행정과,2023-01-04 11:14:00,부산대정문사거리
교통행정과,2023-01-04 11:20:00,대흥상가아파트
교통행정과,2023-01-04 11:23:00,부곡동SK아파트 부근
교통행정과,2023-01-04 11:24:00,부산대 정문앞
교통행정과,2023-01-04 11:34:00,농협 남산지점 보강
교통행정과,2023-01-04 11:42:00,대흥상가아파트
교통행정과,2023-01-04 11:47:00,부곡동SK아파트 부근
교통행정과,2023-01-04 11:48:00,부곡동SK아파트 부근
교통행정과,2023-01-04 11:48:00,서동 세웅병원 보강
교통행정과,2023-01-04 14:02:00,남산동 남산역 1번출구
교통행정과,2023-01-04 14:06:00,부산대지하철4번출구
교통행정과,2023-01-04 14:09:00,남산동GS슈퍼마켓앞
교통행정과,2023-01-04 14:15:00,부산대 정문앞
교통행정과,2023-01-04 14:19:00,부산대1번출구사각지대
교통행정과,2023-01-04 14:29:00,남산동 남산역 1번출구
교통행정과,2023-01-04 14:30:00,구서동 배비장보쌈
교통행정과,2023-01-04 14:39:00,서동 세웅병원 보강
교통행정과,2023-01-04 14:39:00,서동 세웅병원 보강
교통행정과,2023-01-04 14:50:00,장전동대성관앞
교통행정과,2023-01-04 15:02:00,서동 세웅병원 보강
교통행정과,2023-01-04 15:03:00,농협 남산지점 보강
교통행정과,2023-01-04 15:04:00,구서동롯데캐슬상가앞
교통행정과,2023-01-04 15:17:00,부산대 정문앞
교통행정과,2023-01-04 15:18:00,구서동 이마트
교통행정과,2023-01-04 15:20:00,부산대1번출구사각지대
교통행정과,2023-01-04 15:22:00,남산동 남산역 1번출구
교통행정과,2023-01-04 15:36:00,부산대앞부산은행사거리
교통행정과,2023-01-04 15:49:00,농협 남산지점 보강
교통행정과,2023-01-04 16:03:00,부산대1번출구사각지대
교통행정과,2023-01-04 16:25:00,맥도날드앞
교통행정과,2023-01-04 16:26:00,구서동 배비장보쌈
교통행정과,2023-01-04 16:50:00,종합버스터미널
교통행정과,2023-01-04 17:09:00,농협 남산지점 보강
교통행정과,2023-01-04 17:21:00,남산동 남산역 1번출구
교통행정과,2023-01-04 17:23:00,대흥상가아파트
교통행정과,2023-01-04 17:26:00,부산대 정문앞
교통행정과,2023-01-04 17:29:00,남산동 남산역 1번출구
교통행정과,2023-01-04 17:31:00,농협 남산지점 보강
교통행정과,2023-01-04 17:35:00,금정등기소앞
교통행정과,2023-01-04 17:39:00,서동 세웅병원 보강
교통행정과,2023-01-04 17:44:00,농협 남산지점 보강
교통행정과,2023-01-04 17:46:00,농협 남산지점 보강
교통행정과,2023-01-04 17:47:00,부산대 정문앞
교통행정과,2023-01-04 17:48:00,금정등기소앞
교통행정과,2023-01-04 17:58:00,맥도날드앞
교통행정과,2023-01-04 18:00:00,식물원입구 사거리
교통행정과,2023-01-04 18:01:00,서동 세웅병원 보강
교통행정과,2023-01-04 18:02:00,부곡동SK아파트 부근
교통행정과,2023-01-04 18:34:00,서동 세웅병원 보강
교통행정과,2023-01-04 18:47:00,부산대1번출구사각지대
교통행정과,2023-01-04 19:08:00,농협 남산지점 보강
교통행정과,2023-01-04 19:08:00,구서동 이마트
교통행정과,2023-01-04 19:09:00,부산대1번출구사각지대
교통행정과,2023-01-04 19:12:00,종합버스터미널
교통행정과,2023-01-04 19:14:00,부산대 북측공영주차장
교통행정과,2023-01-04 19:16:00,대흥상가아파트
교통행정과,2023-01-04 19:25:00,금정등기소앞
교통행정과,2023-01-04 19:40:00,부산대 정문앞
교통행정과,2023-01-04 19:56:00,부산대후문사거리
교통행정과,2023-01-04 20:01:00,농협 남산지점 보강
교통행정과,2023-01-04 20:25:00,부산대 정문앞
교통행정과,2023-01-04 20:31:00,부산대 정문앞
교통행정과,2023-01-04 20:37:00,부곡동SK아파트 부근
교통행정과,2023-01-04 21:09:00,구서동 이마트
교통행정과,2023-01-04 21:12:00,구서동 배비장보쌈
교통행정과,2023-01-04 21:18:00,서동 세웅병원 보강
교통행정과,2023-01-04 21:21:00,대흥상가아파트
교통행정과,2023-01-04 21:31:00,부곡동SK아파트 부근
교통행정과,2023-01-04 21:32:00,부산대 정문앞
교통행정과,2023-01-04 21:35:00,구서동 이마트
교통행정과,2023-01-04 21:44:00,서동 세웅병원 보강
교통행정과,2023-01-04 21:46:00,부산대 정문앞
교통행정과,2023-01-04 10:12:00,금사동 금사로
교통행정과,2023-01-04 10:12:00,금사동 금사로
교통행정과,2023-01-04 10:15:00,장전동 부산대학로63번길
교통행정과,2023-01-04 10:18:00,회동동 개좌로239번길
교통행정과,2023-01-04 10:18:00,회동동 개좌로239번길
교통행정과,2023-01-04 10:21:00,장전동 금정로
교통행정과,2023-01-04 10:22:00,장전동 부산대학로49번길
교통행정과,2023-01-04 10:25:00,장전동 금강로
교통행정과,2023-01-04 10:29:00,장전동 부산대학로49번길
교통행정과,2023-01-04 10:30:00,장전동 부산대학로49번길
교통행정과,2023-01-04 10:33:00,장전동 금강로321번길
교통행정과,2023-01-04 10:33:00,장전동 금강로321번길
교통행정과,2023-01-04 10:43:00,장전동 금강로279번길
교통행정과,2023-01-04 10:56:00,서동 서명로
교통행정과,2023-01-04 10:56:00,서동 서명로
교통행정과,2023-01-04 11:00:00,서동 서동로72번길
교통행정과,2023-01-04 11:00:00,부곡동 서동로72번길
교통행정과,2023-01-04 14:22:00,구서동 중앙대로
교통행정과,2023-01-04 14:27:00,청룡동 금정도서관로
교통행정과,2023-01-04 14:28:00,청룡동 금정도서관로
