군구,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
강서구,34,32,28,16,14,15,6,12,13,10,5,5,4,11,12,1,5,10,9,13,13,35,71,47
금정구,42,50,31,29,35,23,24,17,16,15,11,10,7,2,8,4,6,6,11,11,16,19,25,40
기장군,30,31,27,15,10,13,9,8,4,3,4,3,6,6,12,4,2,6,8,10,46,123,97,58
남구,50,57,41,45,29,27,15,11,7,9,7,4,6,7,12,11,4,7,8,13,15,27,48,56
동구,10,12,8,8,6,4,5,4,2,5,0,2,0,0,4,1,1,4,2,1,7,10,17,9
동래구,24,35,16,15,24,14,10,5,7,8,3,2,5,1,8,3,4,5,3,7,9,17,17,53
부산진구,44,37,51,41,38,31,38,18,6,13,8,5,6,2,9,7,4,6,7,9,16,30,51,53
북구,26,27,33,15,10,11,9,8,6,7,3,6,2,7,8,2,4,6,7,9,8,17,21,28
사상구,30,31,23,9,13,13,7,14,9,6,7,0,1,12,10,5,10,8,10,6,17,87,71,31
사하구,39,31,25,19,23,12,18,17,8,6,5,5,6,7,6,7,5,7,3,10,17,21,31,35
서구,11,5,6,7,8,6,2,3,1,3,0,1,2,3,8,4,2,2,6,4,5,7,49,29
연제구,36,33,22,21,24,13,11,9,3,8,7,4,3,2,6,3,3,1,4,3,9,9,32,37
영도구,10,12,16,3,4,8,5,5,2,29,4,1,0,3,4,3,5,4,6,3,3,33,47,14
중구,8,4,19,6,6,2,1,2,2,1,0,1,1,1,3,2,1,1,2,0,3,7,18,13
해운대구,55,45,34,38,18,23,20,19,9,14,7,2,8,9,16,9,3,10,6,13,14,32,57,62
