군구,월요일,화요일,수요일,목요일,금요일,토요일,일요일
강서구,52,41,71,56,69,69,63
금정구,48,54,56,67,77,82,74
기장군,66,86,82,70,73,94,64
남구,39,48,62,91,75,106,95
동구,14,15,18,15,23,22,15
동래구,21,40,41,49,44,55,45
부산진구,64,63,66,86,86,81,84
북구,28,38,39,49,33,49,44
사상구,50,51,61,63,74,72,59
사하구,45,59,43,51,49,66,50
서구,16,20,17,26,42,29,24
연제구,40,42,44,38,33,53,53
영도구,26,17,27,20,34,56,44
중구,7,15,16,16,14,21,15
해운대구,68,78,72,86,68,77,74
