군구,월요일,화요일,수요일,목요일,금요일,토요일,일요일
강서구,51,42,65,54,73,85,71
금정구,61,55,56,62,51,93,81
기장군,75,77,66,80,82,90,86
남구,57,65,69,72,77,92,92
동구,24,15,20,17,15,22,22
동래구,39,42,57,51,59,82,56
부산진구,69,58,59,71,69,98,96
북구,36,35,51,31,45,47,61
사상구,38,49,62,38,67,62,64
사하구,33,37,41,54,60,68,62
서구,26,17,28,25,28,34,29
연제구,45,44,38,39,42,61,50
영도구,25,33,20,38,31,59,47
중구,10,12,13,16,13,22,17
해운대구,70,74,63,75,89,100,80
