"연령별(1)",연령별(2),2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11,2022.11
"연령별(1)",연령별(2),부산광역시,부산광역시,부산광역시,중구,중구,중구,서구,서구,서구,동구,동구,동구,영도구,영도구,영도구,부산진구,부산진구,부산진구,동래구,동래구,동래구,남구,남구,남구,북구,북구,북구,해운대구,해운대구,해운대구,사하구,사하구,사하구,금정구,금정구,금정구,강서구,강서구,강서구,연제구,연제구,연제구,수영구,수영구,수영구,사상구,사상구,사상구,기장군,기장군,기장군
"연령별(1)",연령별(2),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명)
"총계",소계,3320276,1621486,1698790,39840,19323,20517,105286,50866,54420,86670,42381,44289,108294,53300,54994,355302,170933,184369,273447,132440,141007,256647,125279,131368,279303,137544,141759,387297,185775,201522,302450,150279,152171,221647,108294,113353,143360,74332,69028,203871,97791,106080,174907,82218,92689,203496,102404,101092,178459,88327,90132
"0세∼4세",소계,81686,41871,39815,372,206,166,2028,1057,971,1708,893,815,1750,878,872,8357,4304,4053,7413,3813,3600,5336,2746,2590,7126,3640,3486,9379,4757,4622,6643,3383,3260,4014,2044,1970,7560,3957,3603,5285,2663,2622,4090,2038,2052,4029,2124,1905,6596,3368,3228
"0세∼4세",0세,13682,7000,6682,86,52,34,337,194,143,359,167,192,298,153,145,1490,774,716,1221,614,607,799,409,390,1277,661,616,1437,719,718,1140,569,571,651,323,328,1235,617,618,882,458,424,733,384,349,680,370,310,1057,536,521
"0세∼4세",1세,14977,7725,7252,64,30,34,381,209,172,369,205,164,299,148,151,1597,817,780,1366,709,657,951,467,484,1346,694,652,1638,826,812,1246,655,591,725,389,336,1303,726,577,992,475,517,796,368,428,728,395,333,1176,612,564
"0세∼4세",2세,15775,8165,7610,70,37,33,408,198,210,318,165,153,324,172,152,1607,838,769,1446,779,667,1019,524,495,1372,671,701,1872,973,899,1274,649,625,752,383,369,1451,794,657,1009,517,492,750,388,362,774,385,389,1329,692,637
"0세∼4세",3세,17526,8865,8661,66,33,33,435,227,208,330,158,172,391,177,214,1716,841,875,1630,811,819,1185,597,588,1468,769,699,2079,1064,1015,1363,706,657,893,445,448,1658,864,794,1175,574,601,884,445,439,824,424,400,1429,730,699
"0세∼4세",4세,19726,10116,9610,86,54,32,467,229,238,332,198,134,438,228,210,1947,1034,913,1750,900,850,1382,749,633,1663,845,818,2353,1175,1178,1620,804,816,993,504,489,1913,956,957,1227,639,588,927,453,474,1023,550,473,1605,798,807
"5세∼9세",소계,125594,64431,61163,656,351,305,3189,1703,1486,2123,1100,1023,2781,1415,1366,11222,5702,5520,11966,6115,5851,9745,4986,4759,10149,5241,4908,15618,8074,7544,10331,5370,4961,6879,3520,3359,11132,5692,5440,7678,3872,3806,5424,2810,2614,6145,3118,3027,10556,5362,5194
