"연령별(1)",연령별(2),2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04,2023.04
"연령별(1)",연령별(2),부산광역시,부산광역시,부산광역시,중구,중구,중구,서구,서구,서구,동구,동구,동구,영도구,영도구,영도구,부산진구,부산진구,부산진구,동래구,동래구,동래구,남구,남구,남구,북구,북구,북구,해운대구,해운대구,해운대구,사하구,사하구,사하구,금정구,금정구,금정구,강서구,강서구,강서구,연제구,연제구,연제구,수영구,수영구,수영구,사상구,사상구,사상구,기장군,기장군,기장군
"연령별(1)",연령별(2),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명)
"총계",소계,3311402,1615593,1695809,39478,19111,20367,104738,50446,54292,85629,41781,43848,107454,52869,54585,357615,171805,185810,273034,132038,140996,256257,124998,131259,277390,136470,140920,384335,184285,200050,301709,149798,151911,219484,107157,112327,142983,74108,68875,203081,97308,105773,175426,82339,93087,203418,102236,101182,179371,88844,90527
"0세∼4세",소계,79166,40495,38671,328,181,147,2005,1050,955,1655,849,806,1694,852,842,8424,4312,4112,7279,3737,3542,5216,2647,2569,6944,3558,3386,9045,4619,4426,6434,3313,3121,3798,1924,1874,7095,3700,3395,5092,2549,2543,4023,1978,2045,3835,1993,1842,6299,3233,3066
"0세∼4세",0세,13281,6851,6430,68,40,28,349,192,157,335,169,166,277,140,137,1553,799,754,1151,588,563,789,410,379,1293,666,627,1454,743,711,1118,567,551,630,315,315,1136,590,546,841,439,402,726,373,353,644,341,303,917,479,438
"0세∼4세",1세,14895,7595,7300,63,37,26,372,205,167,371,189,182,319,159,160,1684,852,832,1361,714,647,935,456,479,1366,712,654,1587,823,764,1203,635,568,681,347,334,1316,669,647,977,466,511,757,357,400,721,382,339,1182,592,590
"0세∼4세",2세,15304,7926,7378,58,24,34,371,202,169,321,171,150,311,162,149,1628,849,779,1394,732,662,1026,509,517,1292,653,639,1745,871,874,1324,701,623,759,387,372,1326,739,587,980,516,464,772,382,390,735,373,362,1262,655,607
"0세∼4세",3세,16896,8631,8265,69,40,29,432,207,225,298,143,155,369,173,196,1701,845,856,1590,822,768,1160,590,570,1444,729,715,2027,1062,965,1277,676,601,836,439,397,1520,817,703,1091,518,573,853,432,421,857,424,433,1372,714,658
"0세∼4세",4세,18790,9492,9298,70,40,30,481,244,237,330,177,153,418,218,200,1858,967,891,1783,881,902,1306,682,624,1549,798,751,2232,1120,1112,1512,734,778,892,436,456,1797,885,912,1203,610,593,915,434,481,878,473,405,1566,793,773
"5세∼9세",소계,123251,63358,59893,619,339,280,3104,1634,1470,2057,1071,986,2717,1380,1337,11135,5684,5451,11798,6048,5750,9535,4911,4624,9961,5141,4820,15282,7878,7404,10152,5303,4849,6684,3439,3245,11051,5637,5414,7545,3837,3708,5369,2764,2605,5951,3048,2903,10291,5244,5047
"5세∼9세",5세,21007,10927,10080,103,63,40,493,249,244,353,198,155,465,230,235,1983,1072,911,1927,980,947,1547,821,726,1758,915,843,2499,1283,1216,1776,957,819,1110,580,530,2022,1039,983,1246,626,620,961,504,457,1074,565,509,1690,845,845
"5세∼9세",6세,23407,11917,11490,115,71,44,611,309,302,431,221,210,492,244,248,2201,1110,1091,2252,1110,1142,1752,869,883,1889,971,918,2808,1452,1356,1873,964,909,1217,612,605,2165,1111,1054,1442,746,696,1047,519,528,1100,576,524,2012,1032,980
"5세∼9세",7세,26388,13571,12817,113,54,59,654,352,302,429,220,209,601,309,292,2367,1185,1182,2501,1305,1196,2044,1045,999,2157,1135,1022,3292,1717,1575,2196,1136,1060,1409,723,686,2388,1226,1162,1650,866,784,1164,590,574,1265,634,631,2158,1074,1084
"5세∼9세",8세,26613,13620,12993,141,75,66,665,353,312,417,210,207,564,303,261,2360,1192,1168,2637,1348,1289,2097,1110,987,2085,1058,1027,3383,1697,1686,2166,1113,1053,1499,770,729,2306,1187,1119,1617,807,810,1144,584,560,1261,631,630,2271,1182,1089
"5세∼9세",9세,25836,13323,12513,147,76,71,681,371,310,427,222,205,595,294,301,2224,1125,1099,2481,1305,1176,2095,1066,1029,2072,1062,1010,3300,1729,1571,2141,1133,1008,1449,754,695,2170,1074,1096,1590,792,798,1053,567,486,1251,642,609,2160,1111,1049
"10세∼14세",소계,134151,68870,65281,793,403,390,3458,1794,1664,2155,1112,1043,3317,1718,1599,11848,5977,5871,13153,6814,6339,11004,5596,5408,10700,5518,5182,18004,9338,8666,11890,6081,5809,7836,4034,3802,9016,4628,4388,8046,4077,3969,5669,2985,2684,6798,3451,3347,10464,5344,5120
"10세∼14세",10세,27808,14283,13525,145,67,78,669,358,311,421,233,188,652,354,298,2470,1224,1246,2743,1430,1313,2193,1119,1074,2138,1113,1025,3711,1965,1746,2428,1207,1221,1566,808,758,2077,1086,991,1628,800,828,1223,646,577,1425,698,727,2319,1175,1144
"10세∼14세",11세,27783,14185,13598,166,88,78,743,382,361,475,232,243,673,338,335,2426,1230,1196,2615,1341,1274,2315,1158,1157,2188,1131,1057,3596,1847,1749,2471,1258,1213,1641,837,804,2002,1013,989,1696,855,841,1148,600,548,1428,735,693,2200,1140,1060
"10세∼14세",12세,27793,14211,13582,165,81,84,709,371,338,412,222,190,734,376,358,2443,1213,1230,2839,1477,1362,2274,1132,1142,2162,1119,1043,3696,1933,1763,2452,1248,1204,1576,799,777,1903,976,927,1667,844,823,1153,610,543,1380,700,680,2228,1110,1118
"10세∼14세",13세,25193,13017,12176,166,81,85,653,334,319,434,220,214,602,313,289,2247,1152,1095,2412,1220,1192,2164,1118,1046,2069,1058,1011,3465,1773,1692,2207,1148,1059,1533,791,742,1568,813,755,1495,770,725,1032,560,472,1264,664,600,1882,1002,880
"10세∼14세",14세,25574,13174,12400,151,86,65,684,349,335,413,205,208,656,337,319,2262,1158,1104,2544,1346,1198,2058,1069,989,2143,1097,1046,3536,1820,1716,2332,1220,1112,1520,799,721,1466,740,726,1560,808,752,1113,569,544,1301,654,647,1835,917,918
"15세∼19세",소계,131064,67308,63756,1019,477,542,3628,1829,1799,2422,1252,1170,3519,1797,1722,12287,6195,6092,12351,6416,5935,11387,5852,5535,10959,5684,5275,17914,9221,8693,12148,6238,5910,8697,4423,4274,5301,2710,2591,7992,4076,3916,5858,2971,2887,7254,3789,3465,8328,4378,3950
"15세∼19세",15세,27473,14062,13411,188,77,111,720,373,347,504,269,235,703,342,361,2463,1230,1233,2711,1407,1304,2317,1241,1076,2173,1076,1097,3841,1959,1882,2529,1302,1227,1730,901,829,1386,700,686,1668,863,805,1167,553,614,1440,743,697,1933,1026,907
"15세∼19세",16세,25161,12919,12242,170,85,85,674,344,330,482,235,247,688,375,313,2298,1145,1153,2455,1260,1195,2106,1098,1008,2060,1069,991,3516,1807,1709,2290,1191,1099,1599,815,784,1063,511,552,1585,826,759,1142,585,557,1342,719,623,1691,854,837
"15세∼19세",17세,24292,12529,11763,165,94,71,649,318,331,430,229,201,657,332,325,2222,1112,1110,2313,1214,1099,2071,1070,1001,2129,1153,976,3544,1812,1732,2222,1107,1115,1580,826,754,994,511,483,1464,744,720,1008,515,493,1296,687,609,1548,805,743
"15세∼19세",18세,25810,13231,12579,201,86,115,742,365,377,460,245,215,684,340,344,2482,1305,1177,2350,1217,1133,2275,1190,1085,2236,1169,1067,3428,1724,1704,2421,1220,1201,1739,872,867,962,502,460,1552,767,785,1244,650,594,1473,751,722,1561,828,733
"15세∼19세",19세,28328,14567,13761,295,135,160,843,429,414,546,274,272,787,408,379,2822,1403,1419,2522,1318,1204,2618,1253,1365,2361,1217,1144,3585,1919,1666,2686,1418,1268,2049,1009,1040,896,486,410,1723,876,847,1297,668,629,1703,889,814,1595,865,730
"20세∼24세",소계,179541,92214,87327,2388,1065,1323,5944,2821,3123,3803,1882,1921,4948,2727,2221,21571,10132,11439,13862,7194,6668,17264,8858,8406,14488,7783,6705,20171,10692,9479,16846,9076,7770,14640,7629,7011,4802,2576,2226,10304,5311,4993,9104,4249,4855,11503,6023,5480,7903,4196,3707
"20세∼24세",20세,28965,14643,14322,295,126,169,918,414,504,581,304,277,767,414,353,3090,1463,1627,2461,1283,1178,2698,1240,1458,2452,1345,1107,3538,1888,1650,2845,1491,1354,2218,1025,1193,834,453,381,1681,863,818,1295,640,655,1742,857,885,1550,837,713
"20세∼24세",21세,32464,16391,16073,376,157,219,1042,486,556,669,323,346,922,493,429,3720,1720,2000,2600,1347,1253,3083,1445,1638,2629,1362,1267,3856,2104,1752,3079,1627,1452,2584,1205,1379,863,463,400,1919,1020,899,1565,743,822,2050,1069,981,1507,827,680
"20세∼24세",22세,39126,20136,18990,513,266,247,1288,625,663,815,400,415,1084,602,482,4784,2247,2537,2866,1495,1371,3927,1987,1940,3209,1725,1484,4258,2231,2027,3687,1983,1704,3327,1731,1596,1000,560,440,2203,1126,1077,1945,911,1034,2477,1318,1159,1743,929,814
"20세∼24세",23세,39938,20736,19202,591,238,353,1392,683,709,855,401,454,1117,629,488,4983,2361,2622,3027,1592,1435,3934,2129,1805,3055,1686,1369,4363,2296,2067,3658,1986,1672,3376,1884,1492,1001,516,485,2258,1151,1107,2071,947,1124,2680,1418,1262,1577,819,758
"20세∼24세",24세,39048,20308,18740,613,278,335,1304,613,691,883,454,429,1058,589,469,4994,2341,2653,2908,1477,1431,3622,2057,1565,3143,1665,1478,4156,2173,1983,3577,1989,1588,3135,1784,1351,1104,584,520,2243,1151,1092,2228,1008,1220,2554,1361,1193,1526,784,742
"25세∼29세",소계,209645,108064,101581,3291,1634,1657,6439,3146,3293,5640,2761,2879,5324,2899,2425,28500,13637,14863,15760,7926,7834,15647,8533,7114,17465,9211,8254,21873,11240,10633,18541,9948,8593,14766,8283,6483,6977,3874,3103,12661,6196,6465,13776,6558,7218,14193,7540,6653,8792,4678,4114
"25세∼29세",25세,40969,20750,20219,619,258,361,1384,652,732,1009,464,545,1116,621,495,5441,2472,2969,3067,1497,1570,3358,1919,1439,3319,1748,1571,4281,2174,2107,3695,1894,1801,3242,1845,1397,1164,624,540,2401,1172,1229,2559,1165,1394,2663,1363,1300,1651,882,769
"25세∼29세",26세,41468,21354,20114,655,332,323,1312,644,668,1102,519,583,1091,591,500,5576,2642,2934,3093,1529,1564,3259,1780,1479,3414,1834,1580,4432,2275,2157,3641,1992,1649,3055,1706,1349,1267,718,549,2465,1227,1238,2702,1256,1446,2701,1418,1283,1703,891,812
