"연령별(1)",연령별(2),2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01,2023.01
"연령별(1)",연령별(2),부산광역시,부산광역시,부산광역시,중구,중구,중구,서구,서구,서구,동구,동구,동구,영도구,영도구,영도구,부산진구,부산진구,부산진구,동래구,동래구,동래구,남구,남구,남구,북구,북구,북구,해운대구,해운대구,해운대구,사하구,사하구,사하구,금정구,금정구,금정구,강서구,강서구,강서구,연제구,연제구,연제구,수영구,수영구,수영구,사상구,사상구,사상구,기장군,기장군,기장군
"연령별(1)",연령별(2),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명),계 (명),남 (명),여  (명)
"총계",소계,3316107,1618749,1697358,39627,19188,20439,105036,50701,54335,86349,42199,44150,107964,53123,54841,356361,171314,185047,273177,132253,140924,256190,125016,131174,278575,137095,141480,386289,185295,200994,301912,149972,151940,220567,107694,112873,143066,74168,68898,203197,97434,105763,174911,82152,92759,203796,102511,101285,179090,88634,90456
"0세∼4세",소계,80689,41333,39356,361,198,163,2022,1064,958,1687,873,814,1729,869,860,8418,4324,4094,7337,3770,3567,5274,2685,2589,7056,3605,3451,9236,4701,4535,6549,3361,3188,3911,1992,1919,7370,3850,3520,5157,2591,2566,4081,2036,2045,4004,2103,1901,6497,3311,3186
"0세∼4세",0세,13554,6965,6589,80,44,36,349,199,150,339,165,174,301,151,150,1555,797,758,1198,609,589,788,407,381,1306,676,630,1454,735,719,1124,559,565,630,321,309,1185,606,579,847,436,411,759,404,355,654,354,300,985,502,483
"0세∼4세",1세,14959,7684,7275,69,39,30,370,202,168,382,212,170,302,150,152,1611,818,793,1369,716,653,963,465,498,1358,684,674,1616,821,795,1234,648,586,711,371,340,1335,725,610,946,469,477,762,353,409,752,406,346,1179,605,574
"0세∼4세",2세,15406,7938,7468,65,32,33,382,197,185,306,162,144,312,158,154,1619,845,774,1377,732,645,986,496,490,1317,656,661,1829,930,899,1294,673,621,733,369,364,1363,732,631,982,507,475,759,382,377,779,384,395,1303,683,620
"0세∼4세",3세,17445,8890,8555,64,34,30,434,221,213,324,148,176,398,193,205,1731,859,872,1657,842,815,1170,592,578,1462,757,705,2036,1058,978,1329,698,631,897,461,436,1628,863,765,1173,569,604,863,435,428,845,429,416,1434,731,703
"0세∼4세",4세,19325,9856,9469,83,49,34,487,245,242,336,186,150,416,217,199,1902,1005,897,1736,871,865,1367,725,642,1613,832,781,2301,1157,1144,1568,783,785,940,470,470,1859,924,935,1209,610,599,938,462,476,974,530,444,1596,790,806
"5세∼9세",소계,124494,63912,60582,638,343,295,3154,1681,1473,2104,1097,1007,2763,1394,1369,11187,5684,5503,11841,6050,5791,9668,4956,4712,10080,5201,4879,15475,7997,7478,10213,5307,4906,6846,3521,3325,11037,5653,5384,7567,3828,3739,5345,2762,2583,6076,3093,2983,10500,5345,5155
"5세∼9세",5세,21498,11091,10407,102,57,45,523,264,259,375,207,168,460,221,239,2008,1054,954,2010,984,1026,1599,827,772,1813,947,866,2586,1334,1252,1784,946,838,1124,587,537,2031,1047,984,1251,628,623,929,472,457,1087,579,508,1816,937,879
"5세∼9세",6세,24345,12352,11993,118,72,46,648,332,316,432,222,210,540,265,275,2258,1149,1109,2286,1155,1131,1813,890,923,1962,987,975,2916,1499,1417,1956,981,975,1272,662,610,2271,1177,1094,1523,802,721,1096,538,558,1161,584,577,2093,1037,1056
"5세∼9세",7세,26532,13676,12856,127,67,60,663,364,299,440,233,207,579,302,277,2365,1179,1186,2558,1324,1234,2067,1069,998,2162,1146,1016,3316,1709,1607,2212,1166,1046,1488,752,736,2358,1185,1173,1614,855,759,1151,606,545,1290,633,657,2142,1086,1056
"5세∼9세",8세,26325,13573,12752,140,76,64,659,345,314,413,211,202,574,305,269,2369,1221,1148,2553,1322,1231,2087,1093,994,2083,1060,1023,3303,1680,1623,2158,1133,1025,1463,752,711,2276,1169,1107,1632,817,815,1121,578,543,1226,639,587,2268,1172,1096
"5세∼9세",9세,25794,13220,12574,151,71,80,661,376,285,444,224,220,610,301,309,2187,1081,1106,2434,1265,1169,2102,1077,1025,2060,1061,999,3354,1775,1579,2103,1081,1022,1499,768,731,2101,1075,1026,1547,726,821,1048,568,480,1312,658,654,2181,1113,1068
"10세∼14세",소계,134248,68919,65329,791,409,382,3494,1774,1720,2202,1143,1059,3337,1725,1612,11815,5966,5849,13158,6851,6307,11051,5634,5417,10696,5514,5182,18060,9322,8738,11909,6116,5793,7884,4051,3833,8954,4575,4379,8009,4087,3922,5646,2939,2707,6842,3481,3361,10400,5332,5068
"10세∼14세",10세,28633,14710,13923,151,77,74,714,354,360,451,247,204,675,371,304,2534,1272,1262,2807,1463,1344,2283,1138,1145,2228,1160,1068,3772,1973,1799,2543,1282,1261,1596,831,765,2154,1128,1026,1686,843,843,1203,622,581,1483,747,736,2353,1202,1151
"10세∼14세",11세,27418,13955,13463,154,83,71,730,383,347,452,223,229,665,325,340,2414,1188,1226,2604,1338,1266,2270,1154,1116,2132,1115,1017,3575,1839,1736,2410,1221,1189,1607,797,810,1976,988,988,1660,863,797,1179,609,570,1388,695,693,2202,1134,1068
"10세∼14세",12세,27376,14049,13327,169,81,88,724,363,361,443,236,207,722,362,360,2396,1229,1167,2795,1470,1325,2266,1140,1126,2134,1104,1030,3655,1909,1746,2419,1242,1177,1592,812,780,1818,911,907,1618,809,809,1099,592,507,1359,695,664,2167,1094,1073
"10세∼14세",13세,24951,12903,12048,175,91,84,624,342,282,414,208,206,602,314,288,2203,1119,1084,2392,1224,1168,2125,1102,1023,2071,1035,1036,3466,1781,1685,2183,1144,1039,1502,783,719,1545,797,748,1485,764,721,1051,557,494,1276,671,605,1837,971,866
"10세∼14세",14세,25870,13302,12568,142,77,65,702,332,370,442,229,213,673,353,320,2268,1158,1110,2560,1356,1204,2107,1100,1007,2131,1100,1031,3592,1820,1772,2354,1227,1127,1587,828,759,1461,751,710,1560,808,752,1114,559,555,1336,673,663,1841,931,910
