year,month,value
2023,1,3.8
2023,2,6.9
2023,3,12.3
2023,4,14.6
2023,5,17.9
2023,6,22.4
2023,7,25.5
2023,8,27.8
2023,9,24.4
2023,10,18.3
2023,11,11.6
2023,12,6.5
