year,month,value
2021,1,2.6
2021,2,6.4
2021,3,11.2
2021,4,14.9
2021,5,17.9
2021,6,22.1
2021,7,26.9
2021,8,26.6
2021,9,22.9
2021,10,17.4
2021,11,10.6
2021,12,4.4
