읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교동사고 건수,음주운전 적발 건수,year
대청동,1493,6252,10,13,17,1,0.41,2021
덕천1동,3789,11116,21,32,30,2.98,1.79,2021
덕천2동,3779,12011,21,79,30,3.22,1.93,2021
덕천3동,3005,10765,6,12,17,2.89,1.73,2021
덕포1동,3610,8683,9,23,20,3.17,2.01,2021
덕포2동,4985,12921,17,22,30,4.71,3,2021
동광동,717,2675,2,14,6,0.43,0.18,2021
동대신1동,1549,5614,8,7,10,0.59,0.22,2021
동대신2동,1998,7333,8,20,19,0.77,0.28,2021
동대신3동,2095,7702,5,27,32,0.8,0.3,2021
동삼1동,8801,27532,29,71,91,2.95,2.4,2021
동삼2동,1009,3354,8,24,18,0.36,0.29,2021
동삼3동,2270,9913,7,6,37,1.06,0.87,2021
만덕1동,6791,16664,21,20,27,4.47,2.68,2021
만덕2동,9964,26504,14,37,56,7.11,4.26,2021
만덕3동,6977,18670,10,37,25,5.01,3,2021
망미1동,9445,27404,9,46,49,5.48,4.12,2021
망미2동,4014,10703,18,26,30,2.14,1.61,2021
명륜동,9425,24724,13,73,52,3.84,3.1,2021
명장1동,750,14048,7,25,31,2.19,1.77,2021
명장2동,4891,14866,18,9,44,2.15,1.74,2021
명지1동,24509,53087,31,126,126,15.33,8.94,2021
명지2동,13902,30409,58,56,64,8.78,5.12,2021
모라1동,10848,27998,27,73,55,10.21,6.5,2021
모라3동,2384,10412,6,3,20,3.8,2.42,2021
문현1동,6008,13577,7,19,17,1.43,1.44,2021
문현2동,2605,8564,20,16,20,0.9,0.91,2021
문현3동,5281,15632,5,19,13,1.65,1.66,2021
문현4동,2819,8299,10,19,35,0.87,0.88,2021
민락동,11449,28527,31,107,29,5.7,4.29,2021
반송1동,4360,13816,20,42,46,4.88,2.44,2021
반송2동,7032,23270,12,43,25,8.22,4.1,2021
반여1동,15610,34538,60,78,70,12.2,6.09,2021
반여2동,5632,12677,9,40,16,4.48,2.23,2021
반여3동,2274,8559,2,19,2,3.02,1.51,2021
반여4동,6599,16083,7,5,32,5.68,2.83,2021
범일1동,16119,11789,8,24,42,0.48,0.7,2021
범일2동,5034,7862,18,70,28,0.32,0.46,2021
범일5동,1926,4348,10,7,22,0.18,0.26,2021
범천1동,3899,11965,19,61,16,3.37,1.65,2021
범천2동,6472,20329,23,11,28,5.73,2.8,2021
보수동,2426,10521,27,23,30,1.68,0.69,2021
복산동,2915,9523,9,16,32,2.48,2,2021
봉래1동,1988,6741,3,35,14,0.72,0.59,2021
봉래2동,2311,7911,1,3,26,0.85,0.69,2021
부곡1동,3150,8244,8,10,14,1.16,1.07,2021
부곡2동,6508,17983,10,19,13,2.53,2.34,2021
부곡3동,6345,15789,7,55,53,2.23,2.06,2021
부곡4동,4067,12839,9,18,17,1.81,1.67,2021
부민동,2049,7517,12,37,14,0.79,0.29,2021
부암1동,8196,22999,25,25,36,6.48,3.17,2021
부암3동,6072,17437,11,22,31,4.91,2.41,2021
부전1동,29433,15902,22,142,52,4.48,2.19,2021
부전2동,4388,9930,15,214,26,2.8,1.37,2021
부평동,1090,4511,14,65,6,0.72,0.3,2021
사직1동,3953,10614,8,31,24,2.7,2.18,2021
사직2동,10486,27315,18,40,56,6.77,5.46,2021
사직3동,5867,17447,12,42,26,5.03,4.06,2021
삼락동,3230,5808,16,32,38,2.12,1.35,2021
서1동,1617,5315,3,8,10,0.75,0.69,2021
서2동,2723,9218,3,27,15,1.3,1.2,2021
서3동,3246,11231,6,32,17,1.58,1.46,2021
서대신1동,4196,13712,7,27,31,1.43,0.53,2021
서대신3동,2656,8120,6,13,24,0.85,0.31,2021
서대신4동,2538,7758,6,32,26,0.81,0.3,2021
선두구동,1516,2331,3,16,42,0.33,0.3,2021
송정동,4351,9916,11,70,28,3.5,1.75,2021
수민동,11905,32558,22,40,39,7.74,6.24,2021
수영동,4976,14651,12,58,21,2.93,2.2,2021
수정1동,1391,4160,4,10,6,0.17,0.25,2021
수정2동,2649,9819,3,55,34,0.4,0.58,2021
수정4동,893,3902,3,5,14,0.16,0.23,2021
수정5동,1200,5306,2,3,27,0.22,0.31,2021
신선동,1729,8321,0,6,47,0.89,0.73,2021
신평1동,7837,16925,33,44,30,4,2.65,2021
신평2동,6765,15747,29,41,35,3.72,2.46,2021
아미동,1191,6607,4,6,51,0.69,0.25,2021
안락1동,5942,14560,22,51,27,2.67,2.15,2021
안락2동,10176,27185,31,58,47,4.56,3.68,2021
암남동,4831,12772,25,43,51,1.33,0.49,2021
양정1동,6929,20028,15,46,54,5.64,2.76,2021
양정2동,3569,11985,9,39,25,3.38,1.65,2021
엄궁동,12126,27061,19,53,36,9.86,6.28,2021
연산1동,10493,16775,21,46,13,1.46,1.61,2021
연산2동,9173,20674,18,26,43,1.8,1.98,2021
연산3동,2649,9160,1,5,32,0.8,0.88,2021
연산4동,4843,16154,8,65,26,1.4,1.55,2021
연산5동,5565,16588,12,64,15,1.44,1.59,2021
연산6동,4928,16699,10,21,32,1.45,1.6,2021
연산8동,5205,14138,13,21,13,1.23,1.36,2021
연산9동,14487,35075,35,62,31,3.05,3.36,2021
연지동,7477,20607,16,25,22,5.81,2.84,2021
영선1동,1064,3995,12,30,22,0.43,0.35,2021
영선2동,2411,8287,9,12,22,0.89,0.72,2021
영주1동,1368,4693,7,12,7,0.75,0.31,2021
영주2동,1825,7046,2,6,22,1.13,0.46,2021
온천1동,7601,20551,18,85,48,2.96,2.39,2021
온천2동,5445,14933,9,48,82,2.23,1.8,2021
온천3동,13189,38542,20,54,57,5.5,4.44,2021
용당동,6143,8249,22,20,37,0.87,0.87,2021
