year,month,day,hour,value
2021,1, 3,2200.0,-1.1
2021,1, 3,2300.0,1.6
2021,1, 4,0.0,4.4
2021,1, 4,100.0,5.6
2021,1, 4,200.0,6.0
2021,1, 4,300.0,6.9
2021,1, 4,400.0,8.0
2021,1, 4,500.0,8.6
2021,1, 4,600.0,7.3
2021,1, 4,700.0,5.6
2021,1, 4,800.0,4.8
2021,1, 4,900.0,3.8
2021,1, 4,1000.0,3.4
2021,1, 4,1100.0,3.7
2021,1, 4,1200.0,3.4
2021,1, 4,1300.0,3.9
2021,1, 4,1400.0,4.1
2021,1, 4,1500.0,4.4
2021,1, 4,1600.0,3.9
2021,1, 4,1700.0,3.6
2021,1, 4,1800.0,5.5
2021,1, 4,1900.0,4.3
2021,1, 4,2000.0,3.4
2021,1, 4,2100.0,3.3
2021,1, 4,2200.0,4.2
2021,1, 4,2300.0,6.4
2021,1, 5,0.0,7.3
2021,1, 5,100.0,6.8
2021,1, 5,200.0,5.4
2021,1, 5,300.0,4.8
2021,1, 5,400.0,4.9
2021,1, 5,500.0,5.1
2021,1, 5,600.0,4.1
2021,1, 5,700.0,3.2
2021,1, 5,800.0,2.0
2021,1, 5,900.0,1.1
2021,1, 5,1000.0,0.4
2021,1, 5,1100.0,-0.1
2021,1, 5,1200.0,-0.9
2021,1, 5,1300.0,-1.8
2021,1, 5,1400.0,-2.5
2021,1, 5,1500.0,-3.0
2021,1, 5,1600.0,-3.5
2021,1, 5,1700.0,-4.1
2021,1, 5,1800.0,-4.6
2021,1, 5,1900.0,-5.1
2021,1, 5,2000.0,-5.6
2021,1, 5,2100.0,-5.6
2021,1, 5,2200.0,-5.1
2021,1, 5,2300.0,-4.0
2021,1, 6,0.0,-2.0
2021,1, 6,100.0,-0.6
2021,1, 6,200.0,-0.8
2021,1, 6,300.0,0.8
2021,1, 6,400.0,1.6
2021,1, 6,500.0,1.9
2021,1, 6,600.0,0.8
2021,1, 6,700.0,-0.1
2021,1, 6,800.0,-0.5
2021,1, 6,900.0,-0.4
2021,1, 6,1000.0,0.0
2021,1, 6,1100.0,0.0
2021,1, 6,1200.0,-0.1
2021,1, 6,1300.0,0.2
2021,1, 6,1400.0,0.1
2021,1, 6,1500.0,0.2
2021,1, 6,1600.0,-0.1
2021,1, 6,1700.0,-0.9
2021,1, 6,1800.0,-2.9
2021,1, 6,1900.0,-3.6
2021,1, 6,2000.0,-4.8
2021,1, 6,2100.0,-5.3
2021,1, 6,2200.0,-5.6
2021,1, 6,2300.0,-7.3
2021,1, 7,0.0,-6.6
2021,1, 7,100.0,-6.0
2021,1, 7,200.0,-4.9
2021,1, 7,300.0,-4.6
2021,1, 7,400.0,-4.2
2021,1, 7,500.0,-4.9
2021,1, 7,600.0,-5.1
2021,1, 7,700.0,-6.2
2021,1, 7,800.0,-7.1
2021,1, 7,900.0,-7.9
2021,1, 7,1000.0,-8.6
2021,1, 7,1100.0,-9.3
2021,1, 7,1200.0,-9.8
2021,1, 7,1300.0,-10.1
2021,1, 7,1400.0,-10.5
2021,1, 7,1500.0,-10.9
2021,1, 7,1600.0,-10.9
2021,1, 7,1700.0,-11.4
2021,1, 7,1800.0,-11.1
2021,1, 7,1900.0,-11.4
2021,1, 7,2000.0,-11.7
2021,1, 7,2100.0,-12.0
2021,1, 7,2200.0,-11.4
2021,1, 7,2300.0,-9.7
2021,1, 8,0.0,-9.1
2021,1, 8,100.0,-7.7
2021,1, 8,200.0,-6.8
