군구,10.0대,20.0대,30.0대,40.0대,50.0대,60.0대,70.0대,80.0대,nan대
강서구,1,49,129,112,79,45,5,0,1
금정구,2,102,107,101,93,44,8,1,0
기장군,4,53,127,190,98,52,11,0,0
남구,18,113,136,101,93,37,15,3,0
동구,0,25,39,24,18,13,3,0,0
동래구,12,62,63,82,48,22,6,0,0
부산진구,18,146,140,114,70,37,5,0,0
북구,3,53,61,71,49,38,5,0,0
사상구,2,65,103,112,101,38,9,0,0
사하구,3,57,100,89,74,37,3,0,0
서구,2,31,38,40,35,22,6,0,0
연제구,5,63,85,74,47,25,4,0,0
영도구,1,53,56,49,47,16,2,0,0
중구,1,11,31,28,21,12,0,0,0
해운대구,5,99,141,122,106,41,8,1,0
