읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교동사고 건수,음주운전 적발 건수,year
부전2동,5575,11886,16,753,26,2.87,1.74,2023
부평동,981,4511,14,379,6,0.05,0.43,2023
사직1동,3854,10113,12,196,24,2.64,1.62,2023
사직2동,9865,25140,22,215,56,6.4,3.94,2023
사직3동,5717,17057,31,180,26,5.02,3.09,2023
삼락동,2946,5240,16,110,38,1.24,1.3,2023
서1동,1477,4637,3,29,10,0.69,0.66,2023
서2동,2545,8513,6,75,15,1.27,1.21,2023
서3동,3049,10387,9,181,17,1.55,1.48,2023
서대신1동,4777,14903,13,115,31,1.41,1.14,2023
서대신3동,2523,7507,6,52,24,0.71,0.57,2023
서대신4동,2438,7214,12,67,26,0.68,0.55,2023
선두구동,1529,2117,0,61,42,0.32,0.3,2023
송정동,4155,9354,9,206,28,2.53,1.81,2023
수민동,11632,30925,13,246,39,7.36,4.53,2023
수영동,4690,14034,12,257,21,3.2,2.29,2023
수정1동,1360,3951,3,37,6,0.31,0.17,2023
수정2동,2639,9135,3,224,34,0.72,0.39,2023
수정4동,830,3550,2,15,14,0.28,0.15,2023
수정5동,1138,4822,5,9,27,0.38,0.2,2023
신선동,1606,7366,1,21,47,0.67,0.78,2023
신평1동,7605,15770,29,168,30,3.66,2.28,2023
신평2동,7579,17304,24,131,35,4.01,2.51,2023
아미동,1579,6389,1,48,51,0.6,0.49,2023
안락1동,5731,13684,7,255,27,2.46,1.51,2023
안락2동,9983,25857,18,295,47,4.28,2.63,2023
암남동,6393,15205,2,193,51,1.44,1.16,2023
양정1동,6734,19058,24,249,54,4.6,2.79,2023
양정2동,4540,14451,20,154,25,3.49,2.11,2023
엄궁동,11526,24523,19,157,36,5.78,6.1,2023
연산1동,19259,16130,21,221,13,1.26,1.27,2023
연산2동,13399,21719,18,175,43,1.7,1.71,2023
연산3동,3526,10533,1,39,32,0.82,0.83,2023
연산4동,4821,15491,8,323,26,1.21,1.22,2023
연산5동,7430,16697,12,426,15,1.3,1.32,2023
연산6동,5440,15627,10,117,32,1.22,1.23,2023
연산8동,5152,13422,13,137,13,1.05,1.06,2023
연산9동,13519,32953,35,275,31,2.58,2.6,2023
연지동,9889,25812,15,110,22,6.23,3.77,2023
영선1동,961,3702,0,97,22,0.34,0.39,2023
영선2동,2240,7521,3,52,22,0.69,0.8,2023
영주1동,1302,4693,7,47,7,0.05,0.44,2023
영주2동,1748,7046,2,16,22,0.08,0.67,2023
온천1동,9446,24494,20,354,48,3.3,2.03,2023
온천2동,9628,24369,8,222,82,3.45,2.12,2023
온천3동,12679,36701,18,253,57,5.16,3.17,2023
용당동,6119,7867,8,73,37,1.01,1.06,2023
용호1동,17539,42915,3,310,41,5.49,5.76,2023
용호2동,8011,19540,9,131,33,2.5,2.62,2023
용호3동,3526,11270,22,116,13,1.44,1.51,2023
용호4동,2520,7755,14,54,12,0.99,1.04,2023
우1동,30609,22150,45,403,35,6,4.29,2023
우2동,15904,30023,43,313,46,8.13,5.81,2023
우암동,4941,12281,20,177,52,1.57,1.65,2023
우제3동,10740,28010,4,58,11,7.59,5.42,2023
