읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교통사고 건수,음주운전 적발 건수
문현4동,2819,8299,10,19,35,0.87,0.88
민락동,11449,28527,31,107,29,5.7,4.29
반송1동,4360,13816,20,42,46,4.88,2.44
반송2동,7032,23270,12,43,25,8.22,4.1
반여1동,15610,34538,60,78,70,12.2,6.09
반여2동,5632,12677,9,40,16,4.48,2.23
반여3동,2274,8559,2,19,2,3.02,1.51
반여4동,6599,16083,7,5,32,5.68,2.83
범일1동,16119,11789,8,24,42,0.48,0.7
범일2동,5034,7862,18,70,28,0.32,0.46
범일5동,1926,4348,10,7,22,0.18,0.26
범천1동,3899,11965,19,61,16,3.37,1.65
범천2동,6472,20329,23,11,28,5.73,2.8
보수동,2426,10521,27,23,30,1.68,0.69
복산동,2915,9523,9,16,32,2.48,2
봉래1동,1988,6741,3,35,14,0.72,0.59
봉래2동,2311,7911,1,3,26,0.85,0.69
부곡1동,3150,8244,8,10,14,1.16,1.07
부곡2동,6508,17983,10,19,13,2.53,2.34
부곡3동,6345,15789,7,55,53,2.23,2.06
부곡4동,4067,12839,9,18,17,1.81,1.67
부민동,2049,7517,12,37,14,0.79,0.29
부암1동,8196,22999,25,25,36,6.48,3.17
부암3동,6072,17437,11,22,31,4.91,2.41
부전1동,29433,15902,22,142,52,4.48,2.19
부전2동,4388,9930,15,214,26,2.8,1.37
부평동,1090,4511,14,65,6,0.72,0.3
사직1동,3953,10614,8,31,24,2.7,2.18
사직2동,10486,27315,18,40,56,6.77,5.46
사직3동,5867,17447,12,42,26,5.03,4.06
삼락동,3230,5808,16,32,38,2.12,1.35
서1동,1617,5315,3,8,10,0.75,0.69
서2동,2723,9218,3,27,15,1.3,1.2
서3동,3246,11231,6,32,17,1.58,1.46
서대신1동,4196,13712,7,27,31,1.43,0.53
서대신3동,2656,8120,6,13,24,0.85,0.31
서대신4동,2538,7758,6,32,26,0.81,0.3
