읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교통사고 건수,음주운전 적발 건수
안락2동,9983,25857,18,295,47,4.28,2.63
암남동,6393,15205,2,193,51,1.44,1.16
양정1동,6734,19058,24,249,54,4.6,2.79
양정2동,4540,14451,20,154,25,3.49,2.11
엄궁동,11526,24523,19,157,36,5.78,6.1
연산1동,19259,16130,21,221,13,1.26,1.27
연산2동,13399,21719,18,175,43,1.7,1.71
연산3동,3526,10533,1,39,32,0.82,0.83
연산4동,4821,15491,8,323,26,1.21,1.22
연산5동,7430,16697,12,426,15,1.3,1.32
연산6동,5440,15627,10,117,32,1.22,1.23
연산8동,5152,13422,13,137,13,1.05,1.06
연산9동,13519,32953,35,275,31,2.58,2.6
연지동,9889,25812,15,110,22,6.23,3.77
영선1동,961,3702,0,97,22,0.34,0.39
영선2동,2240,7521,3,52,22,0.69,0.8
영주1동,1302,4693,7,47,7,0.05,0.44
영주2동,1748,7046,2,16,22,0.08,0.67
온천1동,9446,24494,20,354,48,3.3,2.03
온천2동,9628,24369,8,222,82,3.45,2.12
온천3동,12679,36701,18,253,57,5.16,3.17
용당동,6119,7867,8,73,37,1.01,1.06
용호1동,17539,42915,3,310,41,5.49,5.76
용호2동,8011,19540,9,131,33,2.5,2.62
용호3동,3526,11270,22,116,13,1.44,1.51
용호4동,2520,7755,14,54,12,0.99,1.04
우1동,30609,22150,45,403,35,6,4.29
우2동,15904,30023,43,313,46,8.13,5.81
우3동,10740,28010,4,177,11,7.59,5.42
우암동,4941,12281,20,58,52,1.57,1.65
일광읍,14999,29676,21,390,143,7.33,9.61
장림1동,5458,10151,22,183,53,2.35,1.47
장림2동,10504,26031,43,200,79,6.04,3.77
장안읍,8896,8846,48,229,123,2.18,2.86
장전1동,5148,17888,35,278,19,2.66,2.54
장전2동,9638,25710,3,520,61,3.83,3.65
재송1동,17507,36820,10,312,66,9.97,7.13
재송2동,9167,22845,1,192,31,6.19,4.42
전포1동,7965,20809,11,552,64,5.03,3.04
전포2동,7756,23354,25,279,45,5.64,3.41
정관읍,37645,80372,162,787,194,19.85,26.02
좌1동,6630,17395,21,393,35,4.71,3.37
좌2동,11410,30735,20,240,33,8.32,5.95
좌3동,5877,15349,11,62,18,4.16,2.97
좌4동,8744,22210,60,73,26,6.02,4.3
좌천동,3622,11333,8,42,21,0.9,0.48
주례1동,7218,16590,13,93,45,3.91,4.12
주례2동,7509,21774,5,247,60,5.13,5.41
주례3동,4480,12284,7,127,35,2.9,3.05
중1동,11465,27215,50,538,36,7.37,5.27
중2동,6793,15243,30,166,44,4.13,2.95
중앙동,31618,2937,9,351,22,0.03,0.28
철마면,3860,7683,13,84,91,1.9,2.49
청룡노포동,4450,9473,16,101,39,1.41,1.35
청학1동,2623,5497,29,29,20,0.5,0.59
청학2동,5733,16765,8,110,62,1.53,1.78
초량1동,15247,4828,2,107,0,0.38,0.2
초량2동,5450,5299,14,192,14,0.42,0.22
초량3동,5393,12500,2,218,26,0.99,0.53
초량6동,2775,5398,4,25,14,0.43,0.23
초읍동,7277,20650,9,213,55,4.99,3.02
초장동,765,3903,0,8,8,0.37,0.3
충무동,2724,9607,9,198,15,0.91,0.73
하단1동,8203,21427,33,223,17,4.97,3.1
하단2동,8573,25147,0,476,41,5.83,3.64
학장동,12082,26579,34,206,63,6.27,6.61
화명1동,18578,40118,60,123,32,11.03,6.6
화명2동,6772,17292,21,122,50,4.75,2.84
화명3동,11656,28554,21,348,22,7.85,4.7
