year,month,value
2022,1,2.5
2022,2,3.2
2022,3,9.9
2022,4,14.6
2022,5,19.5
2022,6,21.6
2022,7,26.9
2022,8,26.8
2022,9,22.6
2022,10,16.4
2022,11,12.6
2022,12,2.3
