읍면동,자동차 등록 대수,인구수,횡단보도 개수,음식점 수,버스정류장 개수,음주 교통사고 건수,예측 음주운전 적발 건수
영주2동,1700,6359,2,16,22,0.87,0.45669013
온천1동,12247,30364,18,328,48,3.22,3.3039145
온천2동,9478,23875,9,212,82,2.42,2.2469387
온천3동,12345,35730,20,235,57,5.98,4.2351665
용당동,6018,7674,22,65,37,0.94,1.0138669
용호1동,17393,42438,44,286,41,5.07,4.4446626
용호2동,7958,19490,8,124,33,1.93,1.7630731
용호3동,3273,10434,3,106,13,1.4,1.5174417
용호4동,2546,7658,9,52,12,0.98,0.7233519
우1동,14319,23357,27,392,35,6.72,3.7566292
우2동,15590,29548,76,298,46,9.18,5.500448
우3동,11039,27989,45,157,52,2.69,2.8593092
우암동,4847,11945,12,54,11,4.72,2.148831
일광읍,15386,29989,21,380,143,6.9,5.7989173
장림1동,6570,12249,24,170,53,2.72,1.5927196
장림2동,10216,25288,22,183,79,6.94,5.049146
장안읍,10377,8611,48,211,123,2.3,2.2170365
장전1동,5117,17764,10,255,19,2.56,2.357011
장전2동,9679,25793,35,471,61,3.79,3.4841223
재송1동,17536,36388,46,285,66,11.34,7.5629544
재송2동,9005,22026,12,177,31,7.41,4.2841005
전포1동,7804,20368,24,498,64,6.4,5.803435
전포2동,7703,23251,20,258,45,6.13,6.6458387
정관읍,37401,78650,162,717,194,21.91,24.180288
좌1동,6604,17070,50,351,35,5.43,3.206898
좌2동,11295,30219,30,217,33,9.61,6.0679064
좌3동,5784,14965,21,57,18,4.84,2.3915677
좌4동,8838,21883,20,73,26,6.94,3.7040308
좌천동,3552,11057,5,41,21,0.54,0.91753006
주례1동,7215,16377,13,90,45,5.08,2.6181054
주례2동,7366,21345,5,220,60,7.73,6.1461782
주례3동,4437,11883,7,124,35,4.41,2.485539
중1동,11588,27066,43,511,36,8.32,7.9531255
중2동,6714,15129,4,146,44,4.78,2.893182
중앙동,34933,3082,9,332,22,0.36,1.8785169
철마면,3773,7414,13,80,91,2.12,1.6835884
청룡노포동,4346,9199,16,97,39,1.38,1.0068445
청학1동,2589,5295,8,24,20,0.58,0.5846368
청학2동,5582,16171,19,102,62,1.67,1.5945613
초량1동,18206,4820,2,100,0,0.25,0.41836616
초량2동,8736,5111,2,184,14,0.29,0.6272471
초량3동,5312,12528,14,210,26,0.66,1.2858998
초량6동,2711,5201,2,23,14,0.3,0.47889674
초읍동,7799,21729,17,206,55,6.51,5.8638606
초장동,745,3713,1,7,8,0.49,0.42823023
충무동,2740,9512,15,182,15,1.13,1.2034974
하단1동,8012,20907,25,206,17,5.47,3.2578678
하단2동,8452,24861,21,445,41,6.44,6.4792533
학장동,12076,26053,34,194,63,9.48,5.4102015
화명1동,18430,39190,11,109,32,12.93,6.1179166
화명2동,6663,16808,11,115,50,5.32,2.8316312
화명3동,11681,28085,60,321,22,9.25,7.651236
